record_label,catalog_number,artist,album,image
CBS Masterworks,,Waverly Consort,Italia Mia,records/143/PXL_20240925_034649842.jpg
Decca Gold Label Records,DL 79428,New York Pro Musica,Florentine Music,records/143/PXL_20240925_034655737.jpg
RCA Red Seal,ARL1-3432,Alain Lombard,Caballé Sings Wagner,records/143/PXL_20240925_034701273.jpg
The Musical Heritage Society Inc.,MHS 3397,Heitor Villa-Lobos,Concerto for Guitar and Small Orchestra / Mystic Sextet / Five Preludes,records/143/PXL_20240925_034707602.jpg
Nonesuch,H-71212,Accademia Monteverdiana,Amorous Dialogues of the Renaissance,records/143/PXL_20240925_034714575.jpg
Nonesuch,H-71118,Josquin Desprez,Missa Ave Maris Stella,records/143/PXL_20240925_034721223.jpg
Kapp Records,KL-1389,"Harry Shulman, Orchestra directed by Daniel Saidenberg",Music for Oboe and Orchestra,records/143/PXL_20240925_034727530.jpg
Musical Heritage Society,MHS 992/993,Muzio Clementi,"Six Sonatinas, Opus 36; Three Sonatinas, Opus 37; Three Sonatinas, Opus 38",records/143/PXL_20240925_034755968.jpg
Sereno,SPLM 511.110,Mozart,Clarinet Concerto / Quintet for Clarinet and Strings,records/143/PXL_20240925_034801372.jpg
Angel,S-36908,"David Munrow, The Early Music Consort of London",Music of Praetorius,records/143/PXL_20240925_034806566.jpg
Philips,,Paco de Lucía,Entre Dos Aguas,records/143/PXL_20240925_034812220.jpg
Vox Turnabout,TV 37270-4,The Ambrosian Singers and Consort with The In Nomine Players,German Music of the Renaissance,records/143/PXL_20240925_034818289.jpg
L'Oiseau-Lyre,,Ensemble Musica Aurea,Dances of the Renaissance,records/143/PXL_20240925_034823785.jpg
Vanguard,BGS-70671,The Deller Consort,Lamento d'Arianna and Other Madrigals,records/143/PXL_20240925_034829858.jpg
Argo,,"Purcell Chorus of Voices, Choristers of St. Paul's Cathedral, director Grayston Burgess",Ceremonial Tudor Church Music,records/143/PXL_20240925_034836355.jpg
Argo,,Palestrina,Assumpta Est Maria / Missa Brevis,records/143/PXL_20240925_034842014.jpg
,,Student Choirs of Colorado Springs,A Class Performance,records/143/PXL_20240925_034848290.jpg
Turnabout,TV 34510,John Dowland,Songs and Dances of John Dowland,records/143/PXL_20240925_034854317.jpg
Nonesuch,H-71005,The London Harpsichord Ensemble,An Eighteenth Century Concert,records/143/PXL_20240925_034900541.jpg
Nonesuch,H-71138,Stanley Buetens Lute Ensemble,In a Medieval Garden,records/143/PXL_20240925_034908434.jpg
Musical Heritage Society,MHS 612,Tomas Luis de Victoria,Missa Quarti Toni,records/143/PXL_20240925_034914304.jpg
Nonesuch,H-71167,Henry Purcell,Sonata for Trumpet and Strings / The Virtuous Wife / The Gordian Knot Untied / Pieces for Harpsichord,records/143/PXL_20240925_034921137.jpg
RCA Victrola,VICS-1428,Deller Consort,Madrigals and Songs,records/143/PXL_20240925_034932718.jpg
Nonesuch,H-71011,Brass Ensemble under the direction of Gabriel Masson,Renaissance Music for Brass,records/143/PXL_20240925_034939374.jpg
Nonesuch,H-71028,The Canby Singers,O Great Mystery,records/143/PXL_20240925_034944807.jpg
