record_label,catalog_number,artist,album,image
Vanguard Everyman Classics,SRV-159 SD,Vivaldi,La Cetra,records/139/PXL_20240925_030953598.jpg
Musical Heritage Society,MHS 514,Michel-Richard de Lalande,Te Deum,records/139/PXL_20240925_030959521.jpg
the musical heritage society inc.,MHS 3357,Wolfgang Amadeus Mozart,"Requiem, K. 626",records/139/PXL_20240925_031005330.jpg
Seraphim,60106,Wanda Landowska,Great Recordings of the Century,records/139/PXL_20240925_031011193.jpg
Musical Heritage Society,MHS 1488,Antonio Vivaldi,Gloria Kyrie Lauda Jerusalem,records/139/PXL_20240925_031018258.jpg
Musical Heritage Society,MHS 1845,Edouard Lalo,"Symphonie Espagnole, Op. 21 / Rhapsodie Norvégienne",records/139/PXL_20240925_031024518.jpg
The Musical Heritage Society Inc.,MHS 901,Johann Joseph Fux,Overture to 'Costantino',records/139/PXL_20240925_031031729.MP.jpg
Philips,,Salvatore Accardo,"6 Sonatas, Op. 5",records/139/PXL_20240925_031037885.jpg
Seraphim,S-60062,Vivaldi,Five Flute & Recorder Concertos,records/139/PXL_20240925_031045835.jpg
The Musical Heritage Society Inc.,MHS 3434,Antonio Vivaldi,"Concerti, Sinfonie, Sonata for Strings",records/139/PXL_20240925_031051922.MP.jpg
Angel,S-36028,Marc-Antoine Charpentier,Midnight Mass for Christmas Eve,records/139/PXL_20240925_031101481.jpg
Nonesuch,H-71143,Marc-Antoine Charpentier,Music for Port-Royal (and First Tenebrae Lesson for Holy Wednesday),records/139/PXL_20240925_031110301.jpg
MHS,3800,"Jean-Claude Veilhan, Guy Robert, Françoise Bloch",The Art of Ornamentation,records/139/PXL_20240925_031118171.jpg
Philips,,Carl Orff,Catulli Carmina,records/139/PXL_20240925_031124624.jpg
Angel,S-37039,"David Munrow, Academy of St. Martin-in-the-Fields, Neville Marriner",Munrow & Marriner,records/139/PXL_20240925_031130883.jpg
Musical Heritage Society Inc.,MHS 1732,Arnold Melchior Brunckhorst / Georg Dietrich Leyding,Die Weihnachtsgeschichte / Prelude and Fugue in E Minor / Prelude in E Major,records/139/PXL_20240925_031137066.jpg
Musical Heritage Society Inc.,MHS 698,Gilles,Gilles Requiem,records/139/PXL_20240925_031143881.jpg
Heliodor,H 25022,Arne / Purcell / Byrd,Judgement of Paris / Abdelazar Suite / Fantasie No. 1 for Strings,records/139/PXL_20240925_031149681.MP.jpg
Nonesuch,H-71132,George Frederick Handel,Water Music,records/139/PXL_20240925_031156832.jpg
Musical Heritage Society,MHS 1443,Alessandro and Domenico Scarlatti,Vocal and Instrumental Music,records/139/PXL_20240925_031203923.jpg
Deutsche Grammophon,139 032,Jean Sibelius,Symphonien Nr. 6 D-Moll · Nr. 7 C-Dur,records/139/PXL_20240925_031210073.jpg
Mercury Wing,SRW 18021,Stravinsky,The Rite of Spring,records/139/PXL_20240925_031216221.jpg
Mercury Wing,WC 18041,Vivaldi,The Four Seasons,records/139/PXL_20240925_031223797.jpg
Period Records,SPL 510,"Gaspar Cassado, Bamberg Symphony",Concertos for Cello / Elegie,records/139/PXL_20240925_031233258.MP.jpg
Musical Heritage Society,MHS 1725,Ezio Flagello,Sings Rossini and Mozart Arias,records/139/PXL_20240925_031240166.jpg
