record_label,catalog_number,artist,album,image
Mercury Records,SR90234,"Wagner, Antal Dorati, London Symphony Orchestra",Tristan und Isolde / Tannhäuser / Lohengrin,records/112/PXL_20240919_022035116.jpg
Columbia,ML 6119,"Isaac Stern, Leonard Bernstein, New York Philharmonic",Two Twentieth Century Masterpieces: Barber/Hindemith Violin Concertos,records/112/PXL_20240919_022040525.MP.jpg
Nonesuch,H-71065,Tomaso Albinoni,Adagio for Strings and Organ,records/112/PXL_20240919_022046256.jpg
London ffrr,OS 26176,Verdi,Four Sacred Pieces,records/112/PXL_20240919_022052204.jpg
Vox,STPL 513.210,"Sibelius, London Philharmonic Orchestra",Symphony No. 2,records/112/PXL_20240919_022058018.jpg
Vox,STPL 518.120,Verdi,Rigoletto (Excerpts),records/112/PXL_20240919_022105600.jpg
Vox,TV-S 34421,Leos Janacek,String Quartets,records/112/PXL_20240919_022111182.jpg
VOX,STPL 525.600,Prokofiev / Britten,Peter and the Wolf / Young Person's Guide to the Orchestra,records/112/PXL_20240919_022118642.jpg
London,CS 6587,Mendelssohn,Scotch Symphony / Italian Symphony,records/112/PXL_20240919_022124185.jpg
Columbia Masterworks,MS 6861,The Mormon Tabernacle Choir,Anvil Chorus,records/112/PXL_20240919_022131292.jpg
Seraphim,S-60016,William Steinberg conducts Wagner,"Prelude & Good Friday Spell from 'Parsifal', Siegfried Idyll, Prelude to 'Die Meistersinger'",records/112/PXL_20240919_022136964.jpg
,,Jackie Daly & Kevin Burke,Eavesdropper,records/112/PXL_20240919_022159927.jpg
,,The Chieftains,The Chieftains in China,records/112/PXL_20240919_022206640.MP.jpg
,,The Chieftains,Bonaparte's Retreat,records/112/PXL_20240919_022213988.jpg
,,Bobby Casey,Taking Flight,records/112/PXL_20240919_022219020.jpg
Gael-Linn,,Paddy Glackin,Glackin,records/112/PXL_20240919_022228159.jpg
,,Charles Guard,Avenging & Bright,records/112/PXL_20240919_022233214.jpg
,KM 209,"Andy Cahan, Bob Carlin, Dana Loomis, Ken Perlman, Henry Sapoznik",Melodic Clawhammer Banjo,records/112/PXL_20240919_022240023.jpg
,,James Bryan,Lookout Blues,records/112/PXL_20240919_022248255.jpg
,,The Red Clay Ramblers,Twisted Laurel,records/112/PXL_20240919_022256248.jpg
Gael-Linn,CEF 058,"Kevin Burke, Séamus Creagh, Seán Keane, Paddy Glackin",An Fhidil - Srath II,records/112/PXL_20240919_022305727.jpg
Gael-Linn,,"Séamus Glackin, Martin Hayes, Maurice Lennon, Seán Montgomery, Séamus Thompson",An Fhidil - Srath I,records/112/PXL_20240919_022313350.jpg
,,John Cunningham,Thoughts from Another World,records/112/PXL_20240919_022318674.jpg
,,Touchstone,Jealousy,records/112/PXL_20240919_022326087.jpg
County,511,Various Artists,A Collection of Mountain Blues,records/112/PXL_20240919_022331704.jpg
