record_label,catalog_number,artist,album,image
The Bach Guild,HM 12 SD,Marc-Antoine Charpentier,Te Deum and Magnificat,records/122/PXL_20240920_013403324.jpg
MHS,3844,"C.P.E. Bach, F. & G. Benda, J. Quantz",Four Rococo Flute Sonatas,records/122/PXL_20240920_013409280.jpg
Musical Heritage Society,MHS 4350,Marc-Antoine Charpentier,Two Requiem Masses,records/122/PXL_20240920_013415324.jpg
Turnabout,,"Thomas Blees, Stuttgart Soloists",Baroque Cello Concerti,records/122/PXL_20240920_013420651.jpg
London ffrr,OS 25921,Pergolesi,Stabat Mater,records/122/PXL_20240920_013425988.jpg
London,PR 234,R. Strauss,Don Quixote,records/122/PXL_20240920_013431493.jpg
Not specified,STE 51569,Mozart,The Magic Flute,records/122/PXL_20240920_013437400.jpg
Philips,,Rafael Puyana,Harpsichord Concerto,records/122/PXL_20240920_013443355.jpg
London Stereo Treasury Series,STS 15343,Ruggiero Ricci,Ruggiero Ricci Solo Recital,records/122/PXL_20240920_013449847.jpg
Yorkshire Records,STPL 512.740,Mozart,Requiem,records/122/PXL_20240920_013455785.jpg
Columbia Masterworks,MS 6608,Leonard Bernstein,Chichester Psalms / Facsimile - A Choreographic Essay,records/122/PXL_20240920_013501726.jpg
Musical Heritage Society,MHS 1411,E. J. Moeran,Overture for a Masque / Rhapsody No. 2 / Cello Concerto,records/122/PXL_20240920_013507305.jpg
Columbia,MS 7021,Aaron Copland,Copland's Greatest Hits,records/122/PXL_20240920_013512809.jpg
Deutsche Grammophon,138 923,"Berliner Philharmoniker, Herbert von Karajan","Debussy: La Mer; Prélude à l'après-midi d'un faune; Ravel: Daphnis et Chloé, Suite No. 2",records/122/PXL_20240920_013518350.jpg
Seraphim,S-60059,Leonid Kogan,Brahms: Violin Concerto,records/122/PXL_20240920_013523534.jpg
MHS,3753,The Ars Nova Brass Quintet,The Brass Amuse Themselves,records/122/PXL_20240920_013529092.jpg
Deutsche Grammophon,138 777,Wilhelm Kempff,Klavierkonzert Nr. 5 Es-Dur,records/122/PXL_20240920_013534854.jpg
Columbia Masterworks,M 33201,Stravinsky,Les Noces,records/122/PXL_20240920_013603678.jpg
London,CS 6097,Tchaikovsky,Nutcracker Suites Nos. 1 and 2,records/122/PXL_20240920_013611194.MP.jpg
VOX,STPL 513.340,Dvorak,Cello Concerto Op. 104,records/122/PXL_20240920_013618886.jpg
Seraphim,S-60053,The Festival Singers of Toronto,Poulenc: Mass in G & Two Motets,records/122/PXL_20240920_013624932.jpg
Seraphim,60012,Sir Thomas Beecham,Franck: Symphony in D Minor,records/122/PXL_20240920_013631747.jpg
Angel,SB-3781,Delius,A Mass of Life,records/122/PXL_20240920_013643199.jpg
London ffrr,CS 6487,"Julius Katchen, The London Symphony Orchestra, Istvan Kertesz",Bartok Piano Concerto No. 3 / Ravel Piano Concerto in G Major,records/122/PXL_20240920_013652474.jpg
London ffrr,CS 6554,"Zubin Mehta, Los Angeles Philharmonic",Stravinsky: Petrushka / Circus Polka,records/122/PXL_20240920_013658850.jpg
