record_label,catalog_number,artist,album,image
Decca,DL 79751,Andrés Segovia,Bach: Chaconne,records/121/PXL_20240920_012302627.jpg
Decca Gold Label Records,DL 710063,Segovia,Granada,records/121/PXL_20240920_012309440.jpg
Decca,DL 710046,Segovia,music for the guitar,records/121/PXL_20240920_012315267.jpg
Decca,DL 710054,Segovia,Five Pieces from 'Platero and I',records/121/PXL_20240920_012321427.jpg
Decca Records,"DL 710,039",Segovia,Maestro Segovia,records/121/PXL_20240920_012328356.jpg
RCA Victor,SQN 7779,Julian Bream,Encores,records/121/PXL_20240920_012334736.jpg
RCA Victor Red Seal,LSC-2819,Julian Bream,Julian Bream in Concert,records/121/PXL_20240920_012340937.jpg
RCA Red Seal,LSC-3231,Julian Bream,Julian Bream Plays Villa-Lobos,records/121/PXL_20240920_012347790.MP.jpg
RCA Red Seal,LSC-3257,John Williams and Julian Bream,Julian & John,records/121/PXL_20240920_012355042.jpg
Decca Gold Label Records,DL 710140,Segovia,Segovia On Stage,records/121/PXL_20240920_012401564.jpg
Decca Gold Label Series,DL 710164,Andrés Segovia,The Unique Art of Andrés Segovia,records/121/PXL_20240920_012407833.jpg
RCA Victor Red Seal,LSC-2964,Julian Bream,20th Century Guitar,records/121/PXL_20240920_012415527.jpg
RCA Red Seal,ARL1-2499,Julian Bream,"Villa-Lobos: The Twelve Etudes for Guitar, Suite populaire brésilienne",records/121/PXL_20240920_012421615.jpg
Westminster,W-9028,Julian Bream,A Program for the Guitar,records/121/PXL_20240920_012427189.jpg
Columbia,MS 6567,John Williams,Virtuoso Music for Guitar,records/121/PXL_20240920_012432610.jpg
Westminster Hi-Fi,XWN 18135,Julian Bream,Spanish Guitar Music,records/121/PXL_20240920_012440145.jpg
Archiv Produktion,2533 183,Konrad Ragossnig,Musik für Laute III. Spanien,records/121/PXL_20240920_012446137.jpg
RCA Red Seal,LSC-3337,Julian Bream,The Woods So Wild,records/121/PXL_20240920_012451327.jpg
Archiv Produktion,2533 304,Konrad Ragossnig,Musik für Laute: VI. Frankreich - France - La France,records/121/PXL_20240920_012457941.jpg
,,Julian Bream,Concertos for Lute & Orchestra,records/121/PXL_20240920_012503137.jpg
RCA Red Seal,,Julian Bream,70s,records/121/PXL_20240920_012508176.jpg
RCA Victor,LSC-2448,Julian Bream,The Art of Julian Bream,records/121/PXL_20240920_012514474.jpg
RCA Red Seal,ARL1-0711,Julian Bream,Sor Grand Sonata Op. 25 / Giuliani Le Rossiniane (First Recording),records/121/PXL_20240920_012523689.jpg
RCA Red Seal,LSC-3070,Julian Bream,Classic Guitar,records/121/PXL_20240920_012530091.MP.jpg
RCA Red Seal,LSC-3185,The Julian Bream Consort,Elizabethan Music,records/121/PXL_20240920_012535972.jpg
