record_label,catalog_number,artist,album,image
,,Tannahill Weavers,IV,records/110/PXL_20240919_015905861.jpg
,,The Chieftains,8,records/110/PXL_20240919_015912535.jpg
,,Silly Wizard,A Glint of Silver,records/110/PXL_20240919_015918091.jpg
,,John Cunningham,Fair Warning,records/110/PXL_20240919_015923805.MP.jpg
,,Matt Cranitch,Éistigh Seal,records/110/PXL_20240919_015929382.jpg
Green Linnet Records,SIF 1071,Phil Cunningham / Tríona Ní Dhomhnaill / Johnny Cunningham / Mícheál Ó Domhnaill,Relativity,records/110/PXL_20240919_015935984.MP.jpg
,,Johnny & Phil Cunningham,Against the Storm,records/110/PXL_20240919_015941056.jpg
,,The John Renbourn Group,A Maid in Bedlam,records/110/PXL_20240919_015947561.jpg
XTRA,XTRA 1089,"Finbar Furey, Eddie Furey",Irish Pipe Music,records/110/PXL_20240919_015952720.jpg
,,"Andy Irvine, Paul Brady",Andy Irvine/Paul Brady,records/110/PXL_20240919_015959880.jpg
Vee Jay,LP 1025,Jimmy Reed,Now Appearing,records/110/PXL_20240919_020005329.jpg
Columbia,CL 2662,Dave Brubeck,Greatest Hits,records/110/PXL_20240919_020012695.jpg
Cadet,757,The Ramsey Lewis Trio,The In Crowd,records/110/PXL_20240919_020018679.jpg
,,The Chieftains,Cotton-Eyed Joe,records/110/PXL_20240919_020028262.jpg
,,Gerald Trimble,First Flight,records/110/PXL_20240919_020034611.jpg
,,Alan Stivell,Un dewezh 'barzh 'ger / Journée à la maison,records/110/PXL_20240919_020041422.jpg
Green Linnet,SIF 1051,Eugene O'Donnell,Slow Airs & Set Dances,records/110/PXL_20240919_020047791.jpg
Big Tree Records,,Steeleye Span,Please to See the King,records/110/PXL_20240919_020054504.jpg
,,"Jeff Johnson, Sandy Simpson, Derri Daugherty, Kathy McClatchy",No Shadow of Turning,records/110/PXL_20240919_020100863.jpg
,,De Danann,Song for Ireland,records/110/PXL_20240919_020108277.jpg
,,De Dannan,Ballroom,records/110/PXL_20240919_020115720.jpg
Boot International,ITB 4018,De Danann,De Danann,records/110/PXL_20240919_020122582.jpg
Rounder Records,0113,Trapezoid,Three Forks of Cheat,records/110/PXL_20240919_020129615.jpg
,,Silly Wizard,Caledonia's Hardy Sons,records/110/PXL_20240919_020135732.jpg
MHS,MHS 3669,"Foulis, McLean, Oswald and Anonymous composers",SCOTS FIDDLE - High Style,records/110/PXL_20240919_020141600.jpg
