record_label,catalog_number,artist,album,image
Columbia Masterworks,,"Rudolf Serkin, Beethoven","Hammerklavier Sonata No. 29, Op. 106",records/119/PXL_20240920_010823940.jpg
London ffrr,CS6943,"Ivan Davis, Piano",Great Galloping Gottschalk: America's First Superstar,records/119/PXL_20240920_010831683.jpg
RCA Victor Red Seal,LSC-2871,Artur Rubinstein,Liszt: Sonata in B Minor / Schubert: 'Wanderer' Fantasy,records/119/PXL_20240920_010838040.jpg
Nonesuch,H-71119,Jørgen Ernst Hansen,Master Works for Organ Volume 3,records/119/PXL_20240920_010843535.jpg
Nonesuch,H-71080,Jørgen Ernst Hansen,Master Works for Organ Volume I,records/119/PXL_20240920_010849224.MP.jpg
Yorkshire Records,STPL 516.350,Buxtehude,Organ Music,records/119/PXL_20240920_010855322.MP.jpg
Nonesuch,H-71136,Jørgen Ernst Hansen,Master Works for Organ: Volume 7 - The Netherlands: 17th Century,records/119/PXL_20240920_010902035.jpg
Angel,36447,Alexis Weissenberg,Bach: Chromatic Fantasy & Fugue in D Minor / Partita No. 5 in G / Partita No. 6 in E Minor,records/119/PXL_20240920_010909505.jpg
Cardinal,VCS-10056,"Beethoven, Hungerford","Sonatas No. 14, No. 12, No. 25",records/119/PXL_20240920_010918411.jpg
Nonesuch,H-71189,Charles Ives,Piano Sonata No. 1,records/119/PXL_20240920_010925404.MP.jpg
the musical heritage society inc.,MHS 1659,Leoš Janáček,"Works for Piano Solo: On an Overgrown Path, In the Mist, Sonata, October 1, 1905",records/119/PXL_20240920_010933003.MP.jpg
The Musical Heritage Society Inc.,MHS 1472,Modeste Moussorgsky,Pictures at an Exhibition,records/119/PXL_20240920_010939562.jpg
Vox,STPL 512.950,Guiomar Novaes,Nocturnes (Complete) - Vol. I,records/119/PXL_20240920_010946207.jpg
Philips,412 609-1,Los Romeros,Bizet 'Carmen' Suite,records/119/PXL_20240920_010952764.jpg
Spectrum,SR-109,Thomatos Guitar Trio,La Sérénade,records/119/PXL_20240920_010958982.jpg
Vivaldi Favorites,36687,Frederic Hand,Baroque and On The Street: Pawn Shop,records/119/PXL_20240920_011006426.MP.jpg
MHS,MHS STEREO 3632,"Peter-Lukas Graf, Konrad Ragossnig",Music for Flute and Guitar,records/119/PXL_20240920_011013982.jpg
Kapp Records,KS-3655,Alice Artzt,Bach and His Friends,records/119/PXL_20240920_011019829.jpg
Musical Heritage Society,MM 20032,Eliot Fisk,American Virtuoso,records/119/PXL_20240920_011025565.jpg
the musical heritage society inc.,MHS 3124,Stanley Buetens,Elizabethan and Jacobean Lute Music,records/119/PXL_20240920_011032237.jpg
London Hi-Fi,CS 7066,Liona Boyd,The Guitar Artistry of Liona Boyd,records/119/PXL_20240920_011039133.jpg
CBS Masterworks,M 35837,Alexandre Lagoya,The Spanish Guitar,records/119/PXL_20240920_011045166.jpg
Turnabout,TV 34341,"Duo-Company: Paolini, Guitarists",Baroque Music for Duo Guitar,records/119/PXL_20240920_011051479.jpg
Musical Heritage Society Inc.,MHS 1893,Karl Scheit,The Virtuoso Guitar,records/119/PXL_20240920_011059722.jpg
Turnabout Vox,TV-S 34538,William Matthews,Partita in A Minor / Suite No. 2 / Suite II Tombeau,records/119/PXL_20240920_011106032.jpg
