record_label,catalog_number,artist,album,image
Vox,SVBX 5438,Bach,Keyboard Music (Complete) Vol. V,records/153/PXL_20240926_013924311.jpg
Nonesuch,H-71018,Various Artists,Music of Shakespeare's Time,records/153/PXL_20240926_013930974.jpg
The Musical Heritage Society Inc.,OR 275-278,Johann Sebastian Bach,The Passion according to Saint Matthew,records/153/PXL_20240926_013937955.jpg
Musical Heritage Society,MHS 582/583/584,George Frederick Handel,The Messiah,records/153/PXL_20240926_013943786.jpg
The Musical Heritage Society Inc.,MHS 1901/2/3/4,Hans Kann,"III Favorite Pieces for Piano, Vol. I",records/153/PXL_20240926_013949615.jpg
Vox,SVBX 5481,Purcell,Complete Works for Harpsichord,records/153/PXL_20240926_013955181.jpg
Musical Heritage Society,939/940/941,Claudio Monteverdi,Orfeo,records/153/PXL_20240926_014001083.jpg
Seraphim,SC-6092,Various Artists,The Seraphim Guide to Grand Opera,records/153/PXL_20240926_014007842.jpg
Nonesuch,H-71028,Joseph Haydn,The 12 London Symphonies,records/153/PXL_20240926_014016576.MP.jpg
Columbia,M2S 753,Igor Kipnis,The Art of Igor Kipnis,records/153/PXL_20240926_014022876.jpg
