record_label,catalog_number,artist,album,image
The Standard Treasury,1,Tchaikovsky,The World's Great Music,records/158/PXL_20240926_200254384.jpg
Westminster,WF-9047,Hindemith,String Trio No. 2 (1933),records/158/PXL_20240926_200301461.jpg
Music Guild,MS-120,Unknown,Fanfares from the Sixteenth Century to the Present,records/158/PXL_20240926_200307644.jpg
Music Guild,MS-868,Unknown,Music for Voices and Viols in the Time of Shakespeare,records/158/PXL_20240926_200313718.jpg
Westminster,W-9341,Domenico Scarlatti,Sonatas for Harpsichord,records/158/PXL_20240926_200320257.jpg
Westminster,WST-17027,Guarnieri,Choro for Cello and Orchestra,records/158/PXL_20240926_200326033.jpg
Capitol,15117,Smiley Burnette,I Wish That I Had Said That,records/158/PXL_20240926_200332411.jpg
RCA Victor,45-5166-B,Alec Templeton,The Pied Piper of Hamelin,records/158/PXL_20240926_200338416.MP.jpg
RCA Victor,45-5167-A,Alice Templeton,The Pied Piper of Hamelin,records/158/PXL_20240926_200344175.jpg
RCA Victor,45-5135-B,Dame May Whitty,Faust - Part 3,records/158/PXL_20240926_200349914.jpg
RCA Victor,45-5134-A,Dame May Whitty,Rapture (Part 1),records/158/PXL_20240926_200356877.MP.jpg
RCA Victor,45-5084-A,Unknown,Conga-Ep,records/158/PXL_20240926_200403500.jpg
RCA Victor,45-5063-A,Perry Como,Christmas,records/158/PXL_20240926_200409601.jpg
MCA Records,MCA-1448,Bobby Bland,These Hands (Small But Mighty),records/158/PXL_20240926_200418670.MP.jpg
Collectables,COL 3038,Ike & Tina Turner,A Fool in Love,records/158/PXL_20240926_200425257.jpg
Collectables,COL 3064,Alvin Cash & The Crawlers,Twine Time,records/158/PXL_20240926_200432011.jpg
Atlantic,OS-13028,Booker T. & The MG's,Chinese Checkers,records/158/PXL_20240926_200439042.MP.jpg
