record_label,catalog_number,artist,album,image
CBS Records Masterworks,,Glenn Gould,The Goldberg Variations,records/125/PXL_20240920_014654433.MP.jpg
CBS Masterworks,35899,Glenn Gould,"Bach: Preludes, Fughettas and Fugues",records/125/PXL_20240920_014704479.jpg
Columbia Masterworks,M 32225,Glenn Gould,A Consort of Musicke Bye William Byrde and Orlando Gibbons,records/125/PXL_20240920_014711096.jpg
Columbia,M 32853,Glenn Gould,"Bach: The French Suites, Vol. 2 Nos. 5 and 6 / Overture In The French Style",records/125/PXL_20240920_014719418.jpg
Columbia Masterworks,,Glenn Gould,"Hindemith: The Piano Sonatas Complete Nos. 1, 2, and 3",records/125/PXL_20240920_014726822.jpg
Columbia Masterworks,M2L 310,Glenn Gould,"The Well-Tempered Clavier, Book 2: Preludes and Fugues 1-8",records/125/PXL_20240920_014733407.jpg
Columbia,M2S 728,Bach/Glenn Gould,"The Well-Tempered Clavier, Book 2: Preludes and Fugues 17-24",records/125/PXL_20240920_014739933.jpg
Columbia Masterworks,M 32347,Glenn Gould,"Bach: The French Suites Vol. 1, Nos. 1-4",records/125/PXL_20240920_014746829.jpg
CBS Records,M 35833,Glenn Gould,Bach Toccatas Vol. 2,records/125/PXL_20240920_014753210.jpg
Columbia Masterworks,M 35144,Glenn Gould,Bach Toccatas Vol. 1,records/125/PXL_20240920_014759573.jpg
Columbia Masterworks,M 32349,Glenn Gould,"Piano Sonatas, Op. 31, Complete",records/125/PXL_20240920_014806357.MP.jpg
Columbia Masterworks,MS 6010,Bruno Walter Conducts Wagner,Prelude to 'Lohengrin' / Siegfried Idyll / 'Tannhauser' Overture and Venusberg Music,records/125/PXL_20240920_014812612.jpg
Deutsche Grammophon,139 353,Johannes Brahms,Streichsextett Nr. 1 B-Dur Op. 18,records/125/PXL_20240920_014818783.MP.jpg
Columbia,MS 7283,"Bach, Glenn Gould","The Well-Tempered Clavier, Book 2: Preludes and Fugues 9-16",records/125/PXL_20240920_014824810.jpg
Columbia Masterworks,ML 5188,"Bach, Glenn Gould","The Well-Tempered Clavier, Book 1: Preludes and Fugues 9-16",records/125/PXL_20240920_014830688.MP.jpg
Columbia,MS 6408,Bach/Glenn Gould,"The Well-Tempered Clavier, Book I: Preludes and Fugues 1-8",records/125/PXL_20240920_014837312.jpg
Angel,S-37310,Igor Kipnis,Twelve Sonatas,records/125/PXL_20240920_014843453.MP.jpg
Columbia,MS 6776,Glenn Gould,"The Well-Tempered Clavier, Book 1/Preludes and Fugues 17-24",records/125/PXL_20240920_014849659.MP.jpg
L'Oiseau-Lyre,SOL 60039,Thurston Dart,French Suites,records/125/PXL_20240920_014856107.jpg
Columbia Masterworks,M 32659,Walter Carlos,Switched-On Bach II,records/125/PXL_20240920_014902665.jpg
The Musical Heritage Society Inc.,MHS 1665,Marie-Claire Jamet,The Glory of the Harp,records/125/PXL_20240920_014909632.jpg
Vox,S-36807,Igor Kipnis,The Partitas for Harpsichord No.1 in B flat/No.2 in C minor,records/125/PXL_20240920_014915057.MP.jpg
The Musical Heritage Society Inc.,MHS 1083,Laurence Boulay,The French Harpsichord School,records/125/PXL_20240920_014922306.MP.jpg
Arista,AB 4073,Monty Python,Monty Python Live! At City Center,records/125/PXL_20240920_014928487.jpg
Nonesuch,H-71098,Marie-Claire Jamet,Four Centuries of Music for the Harp,records/125/PXL_20240920_014933596.jpg
