record_label,catalog_number,artist,album,image
Musical Heritage Society,762/763,Johannes Brahms,German Requiem,records/147/PXL_20240925_044235973.jpg
L'Oiseau-Lyre,,Dowland,First Booke of Songes 1597,records/147/PXL_20240925_044242445.jpg
Decca Records,DL 79409,New York Pro Musica,Spanish Music of the Renaissance,records/147/PXL_20240925_044249118.jpg
Musical Heritage Society Inc.,MHS 1337/1338,Frank Martin,Golgotha,records/147/PXL_20240925_044255680.jpg
,,Matt Molloy,Matt Molloy,records/147/PXL_20240925_044301442.jpg
Columbia,MS 6952,Glenn Gould,Bach: The Six Partitas,records/147/PXL_20240925_044307837.jpg
Musical Heritage Society,MHS 4115/16,Johannes Brahms,Complete Symphonies Volume I,records/147/PXL_20240925_044314307.jpg
I don't know,I don't know,Antal Dorati / Sean Connery,Peter and the Wolf / The Young Person's Guide to the Orchestra,records/147/PXL_20240925_044321335.jpg
Dingle's,,Ar Log,Ar Log,records/147/PXL_20240925_044326924.jpg
,,The Chieftains,The Chieftains 7,records/147/PXL_20240925_044334092.jpg
MHS,MHS STEREO 3577,Bernard Benoit,Lutunn Noz: Celtic Music for Guitar,records/147/PXL_20240925_044341779.jpg
Counterpoint / Esoteric,5612,Telemann,Concerto Grossi no. 1 & 2 - Overture,records/147/PXL_20240925_044347290.jpg
Archiv Produktion,2533 051,Tomás Luis de Victoria,Geistliche Chorwerke,records/147/PXL_20240925_044354774.MP.jpg
RCA Victor Red Seal,LSC-2815,Raymond Lewenthal,Piano Music of Alkan,records/147/PXL_20240925_044401106.jpg
Seraphim,S-60062,"Sir Thomas Beecham, The Royal Philharmonic Orchestra",Symphony No. 1 in C,records/147/PXL_20240925_044406895.MP.jpg
Hall of Fame,HOF 503,Sviatoslav Richter,12 Scriabin Etudes ~ Plus Sonata No. 6,records/147/PXL_20240925_044412369.MP.jpg
Musical Heritage Society,MHS 1969/70,Johann Sebastian Bach,The Four Violin Concerti,records/147/PXL_20240925_044418580.jpg
Musical Heritage Society,944/945,Henry Purcell,The Complete Trio Sonatas Volume II,records/147/PXL_20240925_044427200.jpg
RCA Red Seal,ARL2-2831,Rampal and Lagoya,Rampal and Lagoya in Concert,records/147/PXL_20240925_044434516.jpg
Musical Heritage Society,MHS 1571/2,Isaac Albeniz,Piano Music,records/147/PXL_20240925_044440418.jpg
Philips,6766 178,Arcangelo Corelli,12 Sonate per Violino Op. 5,records/147/PXL_20240925_044446500.jpg
Telefunken,6.42604,Anthony Bailes,Music for Lute,records/147/PXL_20240925_044452961.jpg
The Musical Heritage Society Inc.,OR 431/432,Johann Sebastian Bach,The Six Sonatas for Violin and Harpsichord,records/147/PXL_20240925_044459711.jpg
RCA Red Seal,CRS-2-2710,Allan Sherman,An Evening with Allan Sherman,records/147/PXL_20240925_044506155.jpg
MHS,3752,"Bochum Symphony, Munich Chamber Orchestra",Music of Russian Masters,records/147/PXL_20240925_044511430.jpg
