record_label,catalog_number,artist,album,image
The Musical Heritage Society Inc.,MHS 828,Wolfgang Amadeus Mozart,"Cassation No. 1 in G Major, K. 63 / Divertimento No. 15 in B-Flat Major, K. 287",records/132/PXL_20240925_021931663.jpg
Philips,6514 230,Händel,Trio Sonatas,records/132/PXL_20240925_021937167.jpg
Turnabout,TV 34550,Boccherini,Quartet in A Major · La Tiranna · 2 Trios in G Minor and G Major,records/132/PXL_20240925_021943680.jpg
Columbia Masterworks,MS 7093,The Istomin/Stern/Rose Trio,"Beethoven: Trio in C Minor, Op. 1 No. 3 / Mendelssohn: Trio in D Minor, Op. 49",records/132/PXL_20240925_021949564.jpg
Deutsche Grammophon,2535 301,Ludwig van Beethoven,Violin Sonatas 'Kreutzer' 'Spring',records/132/PXL_20240925_021955495.jpg
Columbia Masterworks,M 30041,Isaac Stern,Bartók Violin Sonatas 1 and 2,records/132/PXL_20240925_022000819.jpg
,MH5 STEREO 4043,"Ralph Vaughan Williams, Sir Arthur Bliss",English Music for Viola and Piano,records/132/PXL_20240925_022006456.jpg
Concert-Disc,CS-242,Bach,Three Gamba Sonatas,records/132/PXL_20240925_022012177.jpg
Columbia Masterworks,M 30255,"Pinchas Zukerman, Daniel Barenboim",Beethoven Violin Sonatas,records/132/PXL_20240925_022017489.jpg
The Musical Heritage Society Inc.,MHS 978,Olivier Messiaen,Quartet for the End of Time,records/132/PXL_20240925_022024191.jpg
Philips,411 102-1,Academy of St. Martin-in-the-Fields Chamber Ensemble,Divertimento KV 334 • March KV 445,records/132/PXL_20240925_022029711.jpg
London ffrr,CS 6410,Julius Katchen,The Complete Piano Works Vol. 3,records/132/PXL_20240925_022044165.jpg
London ffrr,CS 6477,Julius Katchen,The Complete Piano Works vol. 6,records/132/PXL_20240925_022049976.MP.jpg
London ffrr,CS 6482,Julius Katchen,The Complete Piano Works Vol. 8,records/132/PXL_20240925_022055343.jpg
Philips,,"Ingrid Haebler, Henryk Szeryng","Sonatas for piano and violin, K. 380 and K. 306 / Variations on 'Hélas, j'ai perdu mon amant,' K. 360",records/132/PXL_20240925_022101096.jpg
Vanguard,VSD-71133,"Andre Lardrot, I Solisti di Zagreb, Antonio Janigro",The Virtuoso Oboe Vol. 4,records/132/PXL_20240925_022107578.jpg
Turnabout,TV 34111,Beethoven with Casals,"Archduke Trio in B-flat Major, Op. 97",records/132/PXL_20240925_022113573.jpg
Musical Heritage Society Inc.,MHS 1277,"Jean-Pierre Rampal, Marie-Claire Alain",Music for Flute and Organ,records/132/PXL_20240925_022119177.jpg
Angel Records,,Walter Gieseking,Preludes Book One,records/132/PXL_20240925_022124511.jpg
Musical Heritage Society,1346,Padre Antonio Soler,Eight Keyboard Sonatas,records/132/PXL_20240925_022130392.jpg
Vox,STPL 512.340,Liszt,Hungarian Rhapsodies,records/132/PXL_20240925_022136068.MP.jpg
London ffrr,CS 6474,Julius Katchen,Brahms: The Complete Piano Works Vol. 7,records/132/PXL_20240925_022142390.MP.jpg
London ffrr,CS 6473,Julius Katchen,The Complete Piano Works vol. 5: Hungarian Dances,records/132/PXL_20240925_022147803.jpg
London,CS 6396,Julius Katchen,The Complete Piano Works Vol. 1,records/132/PXL_20240925_022154361.jpg
London ffrr,CS 6604,Julius Katchen,The Complete Piano Works Vol. 2,records/132/PXL_20240925_022159882.jpg
