record_label,catalog_number,artist,album,image
London ffrr Stereo Treasury Series,STS 15110,Bartók,Concerto For Orchestra,records/142/PXL_20240925_033533059.jpg
Nonesuch,H-71030,Mahler,Symphony No. 1 in D Major,records/142/PXL_20240925_033539092.jpg
,M 33229,Boulez conducts Stravinsky's The Cleveland Orchestra,Le Sacre du Printemps,records/142/PXL_20240925_033546306.jpg
Caedmon,TC 1060,Robert Frost,Robert Frost Reads His Poetry,records/142/PXL_20240925_033553559.jpg
Columbia Masterworks,OS 2001,Various Artists,West Side Story,records/142/PXL_20240925_033600638.jpg
Columbia,C 30034,Robert Johnson,"King of the Delta Blues Singers, Vol. II",records/142/PXL_20240925_033606851.jpg
Reprise Records,RS 6293,Joni Mitchell,Song to a Seagull,records/142/PXL_20240925_033618253.jpg
Mercury Records,SR90304,Rafael Puyana,The Golden Age of Harpsichord Music,records/142/PXL_20240925_033624399.jpg
RCA Victrola,VICS-1065,Beethoven,Eroica,records/142/PXL_20240925_033631435.jpg
Columbia Masterworks,MS 7073,Glenn Gould,"The Mozart Piano Sonatas, Vol. 3",records/142/PXL_20240925_033638099.jpg
Columbia Masterworks,M 32348,Glenn Gould,"The Mozart Piano Sonatas, Vol. 4",records/142/PXL_20240925_033644376.jpg
Columbia,MS 6802,Glenn Gould,The Two and Three Part Inventions,records/142/PXL_20240925_033650988.jpg
Columbia Masterworks,M 32312,Glenn Gould,"The Mozart Piano Sonatas, Vol. 2",records/142/PXL_20240925_033657537.jpg
Deutsche Grammophon Gesellschaft,139 362,Carl Orff,Carmina Burana,records/142/PXL_20240925_033703662.jpg
VOX,STPL 511.690,Tchaikovsky,1812 Overture,records/142/PXL_20240925_033710689.jpg
Columbia,MS 7286,Walter Carlos,The Well-Tempered Synthesizer,records/142/PXL_20240925_033720656.jpg
Philips,PHC 900-133,"Mozart, Colin Davis, London Symphony Orchestra","Symphonies Nos. 25, 29 and 32",records/142/PXL_20240925_033728867.jpg
Angel,S-36078,Igor Kipnis,The Partitas for Harpsichord No. 3 in A minor; No. 4 in D,records/142/PXL_20240925_033734588.jpg
Odyssey,,Igor Kipnis,Austrian Music for Harpsichord and Clavichord,records/142/PXL_20240925_033741155.jpg
Columbia Masterworks,MS 7222,Olivier Messiaen,Et Exspecto Resurrectionem Mortuorum / Couleurs de la Cité Céleste,records/142/PXL_20240925_033746772.jpg
RCA Victor Red Seal,LSC-2822,The Robert Shaw Chorale,Symphony of Psalms,records/142/PXL_20240925_033752585.jpg
Columbia Odyssey,Y 30034,"George Szell, The Cleveland Orchestra",The Moldau,records/142/PXL_20240925_033758669.jpg
Westminster Gold,WGS-8177,Messiaen,Petites Liturgies De La Présence Divine,records/142/PXL_20240925_033804649.jpg
Melodiya,S10 40341-4,Shostakovich,The Song of the Forests,records/142/PXL_20240925_033810881.jpg
