record_label,catalog_number,artist,album,image
London Stereo Treasury Series,STS 15006,Berlioz,Symphonie Fantastique Op. 14,records/144/PXL_20240925_035430429.jpg
Musical Heritage Society Inc.,MHS 1365,Igor Stravinsky,L'Histoire du Soldat / Sonata (1924) / Three Pieces for String Quartet / Three Pieces for Clarinet,records/144/PXL_20240925_035436655.jpg
Angel,S-37036,Holst,Choral Symphony,records/144/PXL_20240925_035442588.jpg
The Bach Guild,BG-690,The Concentus Musicus,Music at the Court of Leopold I (1640-1705),records/144/PXL_20240925_035450055.jpg
Angel,35881,Otto Klemperer,A Midsummer Night's Dream,records/144/PXL_20240925_035457191.jpg
Nonesuch,H-71283,Richard Strauss / Ottorino Respighi,Sonata in E-flat Major for Violin & Piano / Sonata in B Minor for Violin & Piano,records/144/PXL_20240925_035503693.jpg
RCA Gold Seal,AGL1-3943,Charles Munch / Boston Symphony,La Création du Monde / Suite Provençale,records/144/PXL_20240925_035510312.jpg
Angel,S-37046,Sibelius,Symphony No. 5 in E Flat / En Saga,records/144/PXL_20240925_035516051.jpg
The Bach Guild,HM 16 SD,Vivaldi,Concertos for Diverse Instruments,records/144/PXL_20240925_035521638.jpg
Columbia Odyssey,Y 34134,"George Szell, Richard Strauss, Pierre Fournier, The Cleveland Orchestra",Don Quixote,records/144/PXL_20240925_035527713.jpg
Supraphon,MHS STEREO 4064,Antonín Dvořák,"Symphony No. 9 in E Minor 'From the New World', Op. 95",records/144/PXL_20240925_035534217.jpg
Turnabout,TV 34105S,"Walter Klien, György Sándor, Charlotte Zelka","Concertino for Piano & Chamber Orchestra / Concertino for Piano & Orchestra / Capriccio for Piano & Orchestra / Rhapsody for Piano & Orchestra, Op. 1",records/144/PXL_20240925_035540037.jpg
Pickwick,SPC-3041,Richard Strauss,A Hero's Life,records/144/PXL_20240925_035546004.jpg
Columbia,,The Cleveland Orchestra,Szell Conducts Two Musical Fables,records/144/PXL_20240925_035554786.jpg
London ffrr,CS 6468,"Sibelius, Maazel, Vienna Philharmonic Orchestra","Symphony No. 2 in D major, Op. 43",records/144/PXL_20240925_035600812.jpg
RCA Victor Red Seal,LSC-2927,"André Previn, London Symphony Orchestra",Walton Symphony No. 1,records/144/PXL_20240925_035606793.jpg
Columbia Masterworks,,"Leonard Bernstein, The New York Philharmonic",Mendelssohn Symphony No. 5 'Reformation' / Schubert Symphony No. 5,records/144/PXL_20240925_035613934.jpg
RCA Victrola,VIC-1594,Landowska,Landowska plays Bach,records/144/PXL_20240925_035620127.jpg
Nonesuch,H-71179,Jørgen Ernst Hansen,Master Works for Organ Volume 5,records/144/PXL_20240925_035626234.jpg
Turnabout,TV 34272,Abbey Simon,Chopin Sonatas,records/144/PXL_20240925_035631978.jpg
Vox,STPL 57810,Guiomar Novaes,A Chopin Recital,records/144/PXL_20240925_035640261.MP.jpg
Nonesuch,H-71248,Joshua Rifkin,"Piano Rags by Scott Joplin, Volume II",records/144/PXL_20240925_035647793.jpg
