record_label,catalog_number,artist,album,image
,,Van Morrison & The Chieftains,Irish Heartbeat,records/109/PXL_20240919_012256065.jpg
,,De Dannan,Anthem,records/109/PXL_20240919_012305481.jpg
Shanachie,,De Danann,The Mist Covered Mountain,records/109/PXL_20240919_012310349.jpg
,,De Danann All Stars,The Star Spangled Molly,records/109/PXL_20240919_012314481.jpg
,,ZZ Top,Rio Grande Mud,records/109/PXL_20240919_012320785.jpg
Columbia,CL 2369,Thelonious Monk,Solo Monk,records/109/PXL_20240919_012325840.jpg
Columbia,KC 32786,Dave Brubeck Trio & Gerry Mulligan,Live at the Berlin Philharmonic,records/109/PXL_20240919_012330994.jpg
,,Boys of the Lough,Wish You Were Here,records/109/PXL_20240919_012336115.MP.jpg
,,Boys of the Lough,Open Road,records/109/PXL_20240919_012341403.jpg
Philo,PH 1011,The Boys of the Lough,The Boys of the Lough,records/109/PXL_20240919_012346262.jpg
Rounder Records,3006,The Boys of the Lough,Second Album,records/109/PXL_20240919_012350987.jpg
,,Boys of the Lough,Regrouped,records/109/PXL_20240919_012356301.MP.jpg
Philo Records,PH 1051,The Boys of the Lough,Good Friends - Good Music,records/109/PXL_20240919_012402579.jpg
,,De Danann,Selected Jigs Reels & Songs,records/109/PXL_20240919_012408232.MP.jpg
,,The Boys of the Lough,The Boys of the Lough,records/109/PXL_20240919_012412598.MP.jpg
Philo,,The Boys Of The Lough,Lochaber No More,records/109/PXL_20240919_012418403.MP.jpg
Columbia,CS 9808,Miles Davis,Greatest Hits,records/109/PXL_20240919_012423004.MP.jpg
Blues Classics,30,Lightning Hopkins,Historic Recordings 1952-1953,records/109/PXL_20240919_012428850.jpg
,,Patrick Ball,Celtic Harp: The Music of Turlough O'Carolan,records/109/PXL_20240919_012433885.jpg
,,Battlefield Band,There's a Buzz,records/109/PXL_20240919_012440035.MP.jpg
,,Kevin Burke,If the Cap Fits,records/109/PXL_20240919_012444383.jpg
,,The Bothy Band,The Best of the Bothy Band,records/109/PXL_20240919_012450818.jpg
,,The Bothy Band,Old Hag You Have Killed Me,records/109/PXL_20240919_012454146.MP.jpg
,,Kevin Burke & Mícheál Ó Domhnaill,Portland,records/109/PXL_20240919_012501085.MP.jpg
,,the Bothy Band,out of the wind into the sun,records/109/PXL_20240919_012506494.MP.jpg
