record_label,catalog_number,artist,album,image
London,CSA 2220,"Mahler, London Symphony, Georg Solti",Symphony No. 9,records/155/PXL_20240926_041217626.jpg
Mercury,SR3-9016,Janos Starker,Suites for Unaccompanied Cello Complete,records/155/PXL_20240926_041224942.jpg
Counterpoint / Esoteric,563,Aldo Parisot,Kodaly Sonata for Cello Alone / Bach Suite #5 for Cello Alone,records/155/PXL_20240926_041230604.jpg
Angel,S. 37045,Mahler,Das Lied von der Erde,records/155/PXL_20240926_041235994.jpg
London,CSA 2223,Mahler,Symphony No. 3 in D Minor,records/155/PXL_20240926_041241254.jpg
Columbia Masterworks,,Verdi,Requiem,records/155/PXL_20240926_041436544.jpg
Das Alte Werk,,Georg Friedrich Händel,Sämtliche Orgelkonzerte Op. 4 & Op. 7,records/155/PXL_20240926_041446653.jpg
Columbia,M7X 30281,"Beethoven, George Szell, The Cleveland Orchestra",The Nine Symphonies,records/155/PXL_20240926_041453145.jpg
Unknown,Unknown,Johann Sebastian Bach,Unknown,records/155/PXL_20240926_041512834.jpg
