record_label,catalog_number,artist,album,image
London Digital,LDR 71048,"Stravinsky, The Detroit Symphony, Dorati",The Rite of Spring,records/129/PXL_20240920_021243074.jpg
Philips,PHS 900-066,Bruckner,Symphony No. 3 in D Minor,records/129/PXL_20240920_021249159.jpg
Angel,S-36896,Ralph Vaughan Williams,Mass in G Minor,records/129/PXL_20240920_021255126.jpg
EMI Angel,AM-34765,Herbert von Karajan,Sinfonie Nr. 7 / Symphony No. 7,records/129/PXL_20240920_021300939.jpg
Columbia,M 31997,Barenboim,Elgar Symphony No. 2,records/129/PXL_20240920_021312765.jpg
Angel,S-36899,Ralph Vaughan Williams,Flos Campi / An Oxford Elegy / Five Variants of 'Dives and Lazarus',records/129/PXL_20240920_021319783.jpg
Deutsche Grammophon,138 974,Jean Sibelius,Symphonie Nr. 4: Der Schwan von Tuonela,records/129/PXL_20240920_021324913.MP.jpg
Argo,,Liszt / Bruckner,Missa Choralis / Five Motets,records/129/PXL_20240920_021331299.jpg
Angel,S-36810,Ralph Vaughan Williams,Riders to the Sea / Magnificat,records/129/PXL_20240920_021336636.jpg
Angel,S-36469,Vaughan Williams,Symphony No. 6 in E Minor / The Lark Ascending,records/129/PXL_20240920_021342281.MP.jpg
Angel,36101,Vaughan Williams / Elgar,Fantasia on a Theme by Tallis / Fantasia on Greensleeves / Introduction and Allegro for String Quartet and String Orchestra / Serenade in E Minor,records/129/PXL_20240920_021348979.jpg
Musical Heritage Society,MHS 1689,E.J. Moeran,Cello Sonata in A minor,records/129/PXL_20240920_021354535.MP.jpg
Angel,S-36093,Bruckner,Mass in F Minor,records/129/PXL_20240920_021400623.jpg
Columbia Masterworks,MS 6678,"Leonard Bernstein, New York Philharmonic",Symphony No. 4 - Symphony No. 8,records/129/PXL_20240920_021406658.MP.jpg
Angel,S-36715,Ralph Vaughan Williams,Sancta Civitas / Benedicite,records/129/PXL_20240920_021412466.jpg
Angel,S-36669,Ralph Vaughan Williams,Symphony No. 4 in F Minor / Norfolk Rhapsody No. 1,records/129/PXL_20240920_021418560.MP.jpg
Columbia Masterworks,,"Shostakovich, Eugene Ormandy, The Philadelphia Orchestra",Symphony No. 10,records/129/PXL_20240920_021425258.jpg
Angel,,Ralph Vaughan Williams,Sinfonia Antartica (Symphony No. 7),records/129/PXL_20240920_021431014.jpg
Angel,S-36606,Ralph Vaughan Williams,Serenade to Music / Symphony No. 5 in D (1943),records/129/PXL_20240920_021437042.jpg
Angel,S-36478,Vaughan Williams,A London Symphony,records/129/PXL_20240920_021444382.jpg
Angel,S-36653,Ralph Vaughan Williams,Pastoral Symphony (no. 3) / In the Fen Country,records/129/PXL_20240920_021450643.jpg
EMI,ASD 3649,Ralph Vaughan Williams,Symphony No. 9 in E Minor / Fantasia on the 'Old 104th' Psalm Tune,records/129/PXL_20240920_021456310.jpg
Musical Heritage Society,MHS 4117,"Franz Doppler, Bernhard Romberg",Two Flute Concerti,records/129/PXL_20240920_021502723.jpg
Angel,S-36773,"Ralph Vaughan Williams, Sir Adrian Boult, London Symphony Orchestra",Job: A Masque for Dancing,records/129/PXL_20240920_021510028.jpg
Musical Heritage Society,MHS 898,Franz Schubert,"Mass No. 5 in A-Flat Major, D. 678",records/129/PXL_20240920_021515720.jpg
