record_label,catalog_number,artist,album,image
Angel,S 36024,"Elisabeth Schwarzkopf, Nicolai Gedda, Jerome Hines, The Philharmonia Chorus and Orchestra conducted by Otto Klemperer",Highlights from Handel's Messiah,records/124/PXL_20240920_014242394.jpg
Nonesuch,H-71019,Richard Ellsasser,"Organ Symphony No. 5 in F Minor, Op. 42, No. 1",records/124/PXL_20240920_014247716.jpg
London,OS26300,"Ghiaurov, Vienna Philharmonic, Karajan",Boris Godunov Highlights,records/124/PXL_20240920_014252985.jpg
Columbia Masterworks,M 31012,"Leonard Bernstein, New York Philharmonic","Schubert's Symphony No. 9 in C Major, 'The Great'",records/124/PXL_20240920_014300045.jpg
RCA Red Seal,LSC-3238,Van Cliburn,Beethoven: Piano Concerto No. 3,records/124/PXL_20240920_014306033.jpg
Columbia,M 32394,Leonard Rose / Glenn Gould,Bach: The Three Sonatas for Viola da Gamba and Harpsichord,records/124/PXL_20240920_014311830.jpg
Archiv Produktion,198 307,Johann Sebastian Bach,Präludien und Fugen,records/124/PXL_20240920_014317214.jpg
Archiv Produktion,198 272,Johann Sebastian Bach,"Ouvertüre Nr. 2 in h-moll, Ouvertüre Nr. 3 in D-dur",records/124/PXL_20240920_014322712.MP.jpg
Angel,S 36472,Beethoven,Christ on the Mount of Olives,records/124/PXL_20240920_014328196.jpg
London,CS 6884,"The Los Angeles Philharmonic Orchestra, Zubin Mehta",Symphony No. 4 ('The Inextinguishable'),records/124/PXL_20240920_014333247.jpg
RCA Victrola,VICS-1609(e),"Leonard Bernstein, Robert Russell Bennett, Morton Gould, Leonard Pennario",Gershwin's Greatest Hits,records/124/PXL_20240920_014338919.jpg
RCA Victrola,VICS-1035,"Boston Symphony, Munch",Beethoven Symphony No. 5 / Schubert Symphony No. 8 'Unfinished',records/124/PXL_20240920_014347738.jpg
CBS,73663,Philip Glass,Glassworks,records/124/PXL_20240920_014355330.jpg
Nonesuch,H-71341,Johann Sebastian Bach,Master Works for Organ Volume 8,records/124/PXL_20240920_014401469.MP.jpg
Deutsche Grammophon Gesellschaft,139 425,Drolc-Quartett,Streichquartett Nr.1 D-dur (in D major) / Streichquartett Nr.2 D-dur (in D major),records/124/PXL_20240920_014407109.jpg
Mercury Wing,WC 18062,"Beethoven; Detroit Symphony Orchestra; Paul Paray, conductor","Symphony No. 1 in C major, Opus 21 / Symphony No. 2 in D major, Opus 36",records/124/PXL_20240920_014412580.jpg
Columbia Masterworks,MS 6237,Brahms/Glenn Gould,10 Intermezzi for Piano,records/124/PXL_20240920_014418703.MP.jpg
Deutsche Grammophon,2548 068,Nicanor Zabaleta,Harfe,records/124/PXL_20240920_014424723.jpg
Deutsche Grammophon,2530 048,"Boston Symphony Orchestra, Michael Tilson Thomas",Three Places in New England / Sun-treader,records/124/PXL_20240920_014430705.jpg
Vox,STPL 512.330,J.S. Bach,Two-Part and Three-Part Inventions,records/124/PXL_20240920_014436501.jpg
Turnabout,TV 34271,Bach,6 Concerti After Vivaldi,records/124/PXL_20240920_014442466.jpg
Nonesuch,H-71144,Johann Sebastian Bach,Two- and Three-Part Inventions BWV 772-801,records/124/PXL_20240920_014448556.jpg
Mercury Living Presence,SR90411,Rafael Puyana,Baroque: Masterpieces for the Harpsichord,records/124/PXL_20240920_014454673.jpg
Musical Heritage Society,MHS 1240,Charles Ives,Vocal Music,records/124/PXL_20240920_014500154.jpg
