record_label,catalog_number,artist,album,image
London ffrr,CS 6843,Vladimir Ashkenazy,Piano Sonatas Nos. 31 & 32,records/120/PXL_20240920_011216432.jpg
Vox,STPL 510.940,Guiomar Novaes,"24 Preludes, Op. 28 / Sonata #2, B Flat Minor, Op. 35",records/120/PXL_20240920_011222803.jpg
Connoisseur Society,CS-2032,Ruth Laredo,"Scriabin: Eight Etudes, Opus 42; Sonata No. 5; 'White Mass,' Sonata No. 7; 'Black Mass,' Sonata No. 9",records/120/PXL_20240920_011228955.jpg
Orpheus,OR S-128,Franz Schubert,Dances for Piano Volume II,records/120/PXL_20240920_011236409.jpg
VOX,STPL 512.920,Walter Klien,Beethoven: Sonatas,records/120/PXL_20240920_011245253.jpg
London ffrr,CS 6920,Vladimir Ashkenazy,"Schubert Sonata in G Major, Opus 78",records/120/PXL_20240920_011252621.jpg
Dover,97285-2,Beveridge Webster,Piano Music of Berg Schoenberg and Webern,records/120/PXL_20240920_011259467.jpg
Columbia Masterworks,MS 6411,Horowitz,The Sound of Horowitz,records/120/PXL_20240920_011306006.jpg
Columbia Masterworks,MS 7106,Horowitz,Horowitz On Television,records/120/PXL_20240920_011314206.MP.jpg
RCA Red Seal,LSC-3185,Van Cliburn,My Favorite Encores,records/120/PXL_20240920_011321461.jpg
the musical heritage society inc.,MHS 1841,Frédéric Chopin,Preludes (Complete),records/120/PXL_20240920_011327108.jpg
Nonesuch,,Joseph Haydn,Piano Music Volume V,records/120/PXL_20240920_011332804.jpg
Vanguard,VRS-1157,Alfred Brendel,Alfred Brendel Plays Schubert,records/120/PXL_20240920_011338997.jpg
Columbia Masterworks,M 31371,Horowitz,Appassionata Sonata / Waldstein Sonata,records/120/PXL_20240920_011345487.jpg
Vox,STPL 517.920,Guiomar Novaes,Chopin Mazurkas,records/120/PXL_20240920_011351557.jpg
Columbia,M 31360,Horowitz,Horowitz plays Scriabin,records/120/PXL_20240920_011357257.jpg
The Musical Heritage Society Inc.,MHS 1670,Alexander Scriabin,"24 Preludes, Op. 11",records/120/PXL_20240920_011403761.MP.jpg
The Musical Heritage Society Inc.,MHS 3245,Girolamo Frescobaldi,"Selections From The First Book of Toccatas, Partitas, Etc.",records/120/PXL_20240920_011410590.jpg
Angel,S-37038,Weissenberg,The Great Bach Transcriptions,records/120/PXL_20240920_011416573.jpg
Turnabout,TV 34344,Domenico Scarlatti,16 Sonatas for Harpsichord,records/120/PXL_20240920_011425002.jpg
Das Alte Werk,,"Farnaby, Tomkins, Frescobaldi, Joh. Seb. Bach, Joh. Chr. Bach",Cembalomusik auf Originalinstrumenten / Harpsichord Music on Original Instruments,records/120/PXL_20240920_011430603.MP.jpg
Musical Heritage Society,MHS 1517,Ludwig van Beethoven,Music for Organ (complete),records/120/PXL_20240920_011435565.jpg
Capitol Records,SP 8658,Samson François,I Like Debussy,records/120/PXL_20240920_011446279.jpg
Columbia,,Philippe Entremont,Fantasy-Impromptu: Philippe Entremont Plays Best-Loved Piano Pieces,records/120/PXL_20240920_011510221.MP.jpg
Musical Heritage Society,MHS 1730,Alicia de Larrocha,Piano Recital I,records/120/PXL_20240920_011515543.jpg
RCA Victrola,VIC-1535,Landowska,Landowska at the Piano/Mozart/Haydn,records/120/PXL_20240920_011522641.jpg
