record_label,catalog_number,artist,album,image
Everest,3219,John Williams,The Guitar Artistry of John Williams,records/130/PXL_20240920_021656388.jpg
Odyssey,32 16 0220,"John Williams, Wilfred Brown",Britten: Songs from the Chinese / Dodgson: Four Poems of John Clare / Dowland: Pieces for Solo Guitar,records/130/PXL_20240920_021703984.jpg
Columbia,ML 6151,John Williams,Two Guitar Concertos,records/130/PXL_20240920_021710033.jpg
Columbia Masterworks,34508,Itzhak Perlman & John Williams,Duo,records/130/PXL_20240920_021715515.MP.jpg
Westminster Gold,WGS-8137,John Williams,Sor: 20 Studies For Guitar,records/130/PXL_20240920_021720638.jpg
Columbia Masterworks,34198,John Williams,Villa Lobos: Five Preludes / Scarlatti: Sonatas,records/130/PXL_20240920_021725731.MP.jpg
Columbia,ML 6278,John Williams / Eugene Ormandy,Two Favorite Guitar Concertos,records/130/PXL_20240920_021731169.MP.jpg
Decca Gold Label,DL 710179,Andrés Segovia,The Guitar and I,records/130/PXL_20240920_021736715.jpg
MCA Records,MCA-2525,Segovia,Boccherini-Cassadó: Concerto for Guitar and Orchestra in E Major / Bach: Suite No. 3,records/130/PXL_20240920_021741954.MP.jpg
Decca,DL 710171,Segovia,Castles of Spain,records/130/PXL_20240920_021747870.jpg
Decca,DL-710182,Andrés Segovia,The Guitar and I (Vol. II),records/130/PXL_20240920_021753254.jpg
Decca,DL 9647,Andrés Segovia,an Andrés Segovia program,records/130/PXL_20240920_021759417.jpg
Decca,DL 710145,Segovia,Mexicana,records/130/PXL_20240920_021805040.jpg
Decca Gold Label Records,DL 710034,Segovia,Three Centuries of the Guitar,records/130/PXL_20240920_021810546.jpg
Decca Gold Label Records,DL 710093,Segovia,Platero and I / Sonata Romántica,records/130/PXL_20240920_021815886.jpg
Angel,S-36896,Andrés Segovia,The EMI Recordings 1927-39,records/130/PXL_20240920_021824644.jpg
Columbia Masterworks,M 31963,John Williams - André Previn,Previn: Guitar Concerto - Ponce: Concierto del Sur,records/130/PXL_20240920_021831103.MP.jpg
Columbia Masterworks,M 35145,John Williams,John Williams Plays Music of Agustin Barrios Mangore,records/130/PXL_20240920_021836882.jpg
Columbia,MS 7115,John Williams,Virtuoso Variations for Guitar,records/130/PXL_20240920_021842512.jpg
,CRS 37825,John Williams,The Guitar Is The Song,records/130/PXL_20240920_021853389.jpg
Columbia,PC 31092,John Williams,Changes,records/130/PXL_20240920_021900801.jpg
Columbia Records,MS 6808,John Williams,Columbia Records presents John Williams,records/130/PXL_20240920_021907121.jpg
Columbia Masterworks,MS 6454,John Williams,Plays Spanish Music,records/130/PXL_20240920_021912836.jpg
Columbia Masterworks,M 35128,John Williams,Plays Guitar Music from England Japan Brazil Venezuela Argentina & Mexico,records/130/PXL_20240920_021919259.MP.jpg
