record_label,catalog_number,artist,album,image
MHS Prestige Series,,Peter Ilyitch Tchaikovsky,The Six Symphonies,records/157/PXL_20240926_042023123.jpg
Florilegium Series,,Handel,Messiah: A Sacred Oratorio,records/157/PXL_20240926_042028981.jpg
Angel,,Wagner,Lohengrin,records/157/PXL_20240926_042034676.jpg
London,CSA 2231,"Georg Solti, Chicago Symphony Orchestra",Mahler Symphony No. 7,records/157/PXL_20240926_042041152.jpg
Archiv Produktion,,Johann Sebastian Bach,"Das Wohltemperierte Clavier, 1. Teil",records/157/PXL_20240926_042046607.jpg
