record_label,catalog_number,artist,album,image
Decca Records,DL 79423,New York Pro Musica,Music of the Spanish Theater in the Golden Age,records/131/PXL_20240925_021507772.jpg
Angel,S-36032,Palestrina,Pope Marcellus Mass,records/131/PXL_20240925_021517624.MP.jpg
,624,Roland de Lassus (Orlando di Lasso),Ten Great A Cappella Motets,records/131/PXL_20240925_021556952.jpg
The Musical Heritage Society Inc.,MHS 1003,Johannes Ockeghem,Missa Mi-Mi / Chanson: Fors Seulement / Missa Fors Seulement,records/131/PXL_20240925_021604504.jpg
Stereo,,The Renaissance Chorus,Motets from Choralis Constantinus,records/131/PXL_20240925_021611321.jpg
Odyssey,32 16 0035,"Lionel Rogg, Positif Organ, and the Ancient Instrument Ensemble of Zurich",Renaissance Dances,records/131/PXL_20240925_021623905.jpg
Vanguard,VSD-71125,Musica Reservata of London,A Concert of Early Music,records/131/PXL_20240925_021630540.jpg
Nonesuch,H-71117,John Dowland,Songs & Ayres,records/131/PXL_20240925_021637099.jpg
Angel,,The King's Singers,Courtly Pleasures,records/131/PXL_20240925_021643463.jpg
Nonesuch,H-71048,"Heinrich Isaac, Josquin Des Prez, Orlando Di Lasso",Missa Carminum / Ave Christe / Factus Est Dominus Cum Essem Parvulus Nunc Cognosco,records/131/PXL_20240925_021649342.jpg
the musical heritage society inc.,MHS 1390,Ludwig Senfl,Sacred and Secular Music,records/131/PXL_20240925_021655409.jpg
RCA Red Seal,LSC-2976,"Philip Green, Canon Sydney MacEwan, The Trinity Chorale",Saint Patrick's Mass,records/131/PXL_20240925_021701445.jpg
Decca,DL 79422,New York Pro Musica,It Was a Lover and His Lass: Music of Shakespeare's Time,records/131/PXL_20240925_021710302.jpg
Nonesuch,H-71073,Johannes-Damascenus Choir,Liturgical Music from the Russian Cathedral,records/131/PXL_20240925_021716818.MP.jpg
Musical Heritage Society,MHS 1702,Pro Arte Antiqua of Prague,Bohemian Sacred Instrumental Music,records/131/PXL_20240925_021723857.jpg
MHS,4806H,The Galliard Brass Ensemble,Carols for Brass Volume 2,records/131/PXL_20240925_021730230.jpg
Telefunken,6.41315,Unknown,Carmina Burana (II): 13 Songs from the Benediktbeuern Manuskript circa 1300,records/131/PXL_20240925_021736981.jpg
Odyssey,32 16 0151,New York Pro Musica Antiqua,An Evening of Elizabethan Verse and Its Music,records/131/PXL_20240925_021743418.jpg
Nonesuch,H-71138,Concentus Musicus of Denmark,Masque Music,records/131/PXL_20240925_021749638.jpg
The Musical Heritage Society Inc.,MHS 3198,Ars Antiqua de Paris,The Art of Guillaume de Machaut,records/131/PXL_20240925_021755956.jpg
Unknown Label,MHS 1584,Unknown Artist,Calixtine Codex - Mozarabic Antiphonary,records/131/PXL_20240925_021802173.jpg
Musical Heritage Society Inc.,MHS 3051,"Choir of the Papal Russian College, Rome",Music of the Eastern Church,records/131/PXL_20240925_021808585.jpg
Archiv Produktion,2535 115,Thomas Tallis / William Byrd,Lamentationes Jeremiae / Missa tres vocum,records/131/PXL_20240925_021814491.MP.jpg
Musical Heritage Society Inc.,MHS 1548,John Dowland,Lute Songs and Lute Solos,records/131/PXL_20240925_021821032.jpg
Nonesuch,H-71117,Capella Antiqua Munich,Voices of the Middle Ages: Music from the Gothic Cathedral,records/131/PXL_20240925_021827559.jpg
