record_label,catalog_number,artist,album,image
Deutsche Grammophon,2530 235,LaSalle-Quartett,Debussy · Ravel: Streichquartette · String Quartets,records/116/PXL_20240920_005221726.jpg
Odyssey,32 16 0138,"Mozart, George Szell, Members of the Budapest String Quartet",The Piano Quartets,records/116/PXL_20240920_005234925.jpg
Capitol,P 8352,Chamber Music Ensemble of The Berlin Philharmonic Orchestra,Schubert Octet in F Major,records/116/PXL_20240920_005239874.MP.jpg
Vanguard Everyman Classics,SRV-295 SD,Boccherini / Haydn,"Quintet in D major for Guitar and Strings / Quartet for Guitar, Violin, Viola and Cello",records/116/PXL_20240920_005252468.jpg
Musical Heritage Society,MHS 3286,Jean Françaix,Divertimento for Flute and Chamber Orchestra / Suite for Solo Flute / Quintet for Winds,records/116/PXL_20240920_005300045.jpg
MD+G,MHS 1327,Felix Mendelssohn,Music for Winds,records/116/PXL_20240920_005306058.jpg
RCA Victrola,VICS-1438,Monteverdi / Deller Consort,"Tirsi e Clori, Ballet / Six Madrigals",records/116/PXL_20240920_005315258.jpg
Nonesuch,,"Academia Monteverdiana, Trinity Boys Choir, Denis Stevens (director)",Music in Honor of St. Thomas of Canterbury,records/116/PXL_20240920_005321189.jpg
Nonesuch,H-71082,Marc-Antoine Charpentier,Oratorio de Noël: Pastorale sur la Naissance de Notre Seigneur Jesus-Christ,records/116/PXL_20240920_005326762.jpg
MHS,1888,Diego Ortiz,Recercadas from the Tratado de Glosas,records/116/PXL_20240920_005333195.jpg
Columbia,MS 7077,E. Power Biggs,The Glory of Gabrieli,records/116/PXL_20240920_005339125.jpg
Nonesuch,H-71284,Elliott Carter,"Sonata for Flute, Oboe, Cello & Harpsichord / Sonata for Cello & Piano",records/116/PXL_20240920_005346963.jpg
Musical Heritage Society,MHS 1427,"Eduard Melkus, Lionel Rogg",Galant Sonatas for Violin and Continuo,records/116/PXL_20240920_005354870.jpg
The Musical Heritage Society Inc.,MHS 1202,Franz Schubert,"String Quartet in D Minor, Op. Posth. / Quartet Movement in C Minor, Op. Posth.",records/116/PXL_20240920_005400677.jpg
Deutsche Grammophon,410 896-1,"Itzhak Perlman, Daniel Barenboim","Violin Sonatas K.301, 302, 303, 304",records/116/PXL_20240920_005405907.jpg
London ffrr,CS 6385,Janacek Quartet,"Quartet in E flat op. 33/2 'Joke', Quartet in F op. 3/5 'Serenade', Quartet in D minor op. 76/2 'Fifths'",records/116/PXL_20240920_005413020.jpg
Musical Heritage Society,MHS 4290,Luigi Boccherini,"Six Quintets for Flute and Strings, Op. 17",records/116/PXL_20240920_005420048.MP.jpg
Counterpoint,5520,Thomas Morley,Elizabethan Madrigals,records/116/PXL_20240920_005425619.MP.jpg
RCA Victrola,VICS-1338,Dowland,Lachrimae or Seaven Teares and Fourteen Other Dances,records/116/PXL_20240920_005431787.jpg
,S-5094,Various Artists,The Golden Age of Baroque,records/116/PXL_20240920_005437224.jpg
Musical Heritage Society,MHS 3380,Peter Schreier,Peter Schreier Sings Schubert,records/116/PXL_20240920_005442800.jpg
Musical Heritage Society,MHS 1232,Camille Saint-Saëns,"Symphony No. 3 in C Minor, Op. 78 / Omphale's Spinning Wheel, Op. 31 / Danse Macabre, Op. 40",records/116/PXL_20240920_005521627.jpg
Musical Heritage Society,MHS 4291,Wolfgang Amadeus Mozart / Ludwig van Beethoven,"Piano Quartet in E-flat Major, K. 493 / String Trio in G Major, Op. 9, No. 1",records/116/PXL_20240920_005525743.jpg
Nonesuch,D-79034,The Sequoia String Quartet with Allan Vogel,Boccherini: Quartets and Quintets,records/116/PXL_20240920_005531865.jpg
Musical Heritage Society,MHS 1421,Johann Schobert,Sinfonies pour le Clavecin,records/116/PXL_20240920_005536856.jpg
