record_label,catalog_number,artist,album,image
Nonesuch,H-71278,The Western Wind Vocal Ensemble,Early American Vocal Music: New England Anthems & Southern Folk Hymns,records/117/PXL_20240920_010033804.jpg
Musical Heritage Society,MHS 3411,Philippe Caillard Vocal Ensemble,"Choirs, Strings and Brass: Medieval, Renaissance and Baroque Music",records/117/PXL_20240920_010038904.jpg
Nonesuch,H-71046,Concentus Musicus of Denmark,Baroque Music for Recorders,records/117/PXL_20240920_010044193.MP.jpg
,,The Chieftains,The Year of the French,records/117/PXL_20240920_010053018.jpg
,,Matt Molloy and Sean Keane,Contentment is Wealth,records/117/PXL_20240920_010059912.MP.jpg
Deutsche Grammophon,2531 214,Richard Wagner,Ouvertüren & Vorspiele,records/117/PXL_20240920_010106366.jpg
EMI Electrola,1C 063-30 125,Peter Abelard,"Planctus Jeptha, Planctus David",records/117/PXL_20240920_010113249.jpg
Angel,S-36602,The Early Music Consort of London,Music from the Court of Ferdinand and Isabella,records/117/PXL_20240920_010118971.jpg
Musical Heritage Society,MHS 1624,Jean-François Paillard Chamber Orchestra,Ceremonial Music from the Court of Louis XIV,records/117/PXL_20240920_010126080.jpg
The Musical Heritage Society Inc.,MHS 860,"Giovanni Gabrieli, Ruggero Trofeo, Giovanni Battista Grillo, Francesco Cavalli, Antonio Caldara, Antonio Vivaldi",Antiphonal Music from the Cathedral of San Marco in Venice,records/117/PXL_20240920_010131965.jpg
MHS,4441,The Scholars,The Golden Age of English Sacred Choral Music,records/117/PXL_20240920_010138103.MP.jpg
London ffrr,CS 6786,"Sir Georg Solti, Chicago Symphony Orchestra",Solti Chicago Wagner,records/117/PXL_20240920_010143558.jpg
London Jubilee,JL 41066,Birgit Nilsson,The Great Voice of Birgit Nilsson,records/117/PXL_20240920_010150277.jpg
MHS,3751,Paul Bernard,Old Spanish Organ Music,records/117/PXL_20240920_010157037.jpg
Topic,12TS380,Dick Gaughan,Coppers & Brass,records/117/PXL_20240920_010204778.MP.jpg
,KM231,Cathie Whitesides,Gems of Irish and Cape Breton Scottish Fiddling,records/117/PXL_20240920_010210152.MP.jpg
Musical Heritage Society,MHS 4745W,Gérard Krémer,Eternal Ireland: Irish Harp Pub Music,records/117/PXL_20240920_010216693.MP.jpg
Kicking Mule Records,SNKF 138,"Davey Graham, Duck Baker, Dan Ar Bras, Dave Evans","Irish Reels, Jigs, Hornpipes & Airs",records/117/PXL_20240920_010222530.MP.jpg
,,Pierre Bensusan,Solilai,records/117/PXL_20240920_010228990.jpg
,KM-327,Scartaglen,Scartaglen,records/117/PXL_20240920_010235676.jpg
Urania,US 58005,Vivaldi / Telemann / Haydn,Concerto in C for 2 Flutes and Orchestra / Concertos in A Minor and B Flat for 2 Flutes and Orchestra / Concerto for Flute,records/117/PXL_20240920_010242682.MP.jpg
Esoteric,5528,The Harpsichord Quartet,Bach Handel,records/117/PXL_20240920_010249001.MP.jpg
Archive Production,104252,Various Artists,An Introduction to the Most Authoritative History of Music on Records,records/117/PXL_20240920_010257281.jpg
Vanguard Everyman Classics,SRV-241SD,J.S. Bach,"Cantata No. 117, Sei Lob und Ehr dem hochsten Gut / Cantata No. 93, Wer nur den lieben Gott lasst walten",records/117/PXL_20240920_010303928.jpg
Philo,PL 2018,Jean Carignan,"Plays the Music of Coleman, Morrison & Skinner",records/117/PXL_20240920_010310903.jpg
