record_label,catalog_number,artist,album,image
Hungaroton,HLX 90053-55,Kodály Zoltán,"Psalmus Hungaricus, Nyári Este, Te Deum, Missa Brevis, Concerto",records/152/PXL_20240926_013508150.jpg
Sine Qua Non,SQN112X,Various Artists,The World's Greatest Cellists,records/152/PXL_20240926_013520256.jpg
Philips,,"Handel, Raymond Leppard, English Chamber Orchestra","Concerti grossi Op.3 / Alexander's Feast, Ouverture in D / Hornpipe, Ouverture in B flat",records/152/PXL_20240926_013525826.jpg
Nonesuch Records,H-71002,Ludwig van Beethoven,"Missa Solemnis in D Major, Opus 123",records/152/PXL_20240926_013531946.jpg
Concert-Disc,S-2322 / SP-502,Beethoven,The Late Quartets,records/152/PXL_20240926_013538179.jpg
Cardinal,VCS-10097/8/9,Handel,Jephtha,records/152/PXL_20240926_013544943.jpg
Angel,S-37009,Otto Klemperer,Symphony no. 5 in B flat,records/152/PXL_20240926_013550658.jpg
Smithsonian Institution,P6 11891,Various Artists,The Smithsonian Collection of Classic Jazz,records/152/PXL_20240926_013557470.jpg
CBS,M 35192,Boulez conducts Bartók,Bluebeard's Castle,records/152/PXL_20240926_013605000.jpg
Smithsonian Collection,,Various Artists,The Smithsonian Collection of Classic Country Music,records/152/PXL_20240926_013614815.jpg
