record_label,catalog_number,artist,album,image
The Musical Heritage Society Inc.,MHS 1708/9/10,Johann Sebastian Bach,"Mass in B Minor, BWV 232",records/149/PXL_20240925_045734591.jpg
Das Alte Werk,,Pro Cantione Antiqua,El Siglo de Oro,records/149/PXL_20240925_045741721.MP.jpg
The Musical Heritage Society Inc.,OR 352/353/354,Various Artists,Dance Music of the Renaissance and Baroque,records/149/PXL_20240925_045747228.MP.jpg
Seraphim,SIC-6092,Syntagma Musicum of Amsterdam,The Seraphim Guide to Renaissance Music,records/149/PXL_20240925_045753280.jpg
RCA Victor,ARL1-0684,"Rubinstein, Szeryng, Fournier",Brahms: The Three Trios / Schumann: Trio in D Minor,records/149/PXL_20240925_045759050.jpg
Musical Heritage Society Inc.,1501/2/3,Bela Bartok,The Six String Quartets (complete),records/149/PXL_20240925_045804659.jpg
RCA Victor Red Seal,VCS-6415,The Guarneri Quartet,The Five Middle Quartets,records/149/PXL_20240925_045810037.jpg
Philips,,J.S. Bach,Sämtliche Flötensonaten,records/149/PXL_20240925_045815416.jpg
Angel,S-37159,Vaughan Williams,A Sea Symphony / The Wasps / Aristophanic Suite,records/149/PXL_20240925_045821124.jpg
Seraphim,K-6005,The Hungarian Quartet,Beethoven: The Early Quartets,records/149/PXL_20240925_045826657.MP.jpg
