record_label,catalog_number,artist,album,image
Columbia,KC 31320,Bob Dylan,Bob Dylan's Greatest Hits Vol. II,records/201/PXL_20240916_010559035.jpg
Columbia,CS 9128,Bob Dylan,Bringing It All Back Home,records/201/PXL_20240916_010605123.jpg
Reprise Records,RS 6261,The Jimi Hendrix Experience,Are You Experienced,records/201/PXL_20240916_010610616.jpg
,,Randy Zombola,Snowflake Breakdown,records/201/PXL_20240916_010615952.jpg
,,Return to Forever,The Best of Return to Forever,records/201/PXL_20240916_010621185.MP.jpg
MCA Records,MCA2-11000,Various Artists,Jesus Christ Superstar,records/201/PXL_20240916_010631967.MP.jpg
,,The Smithereens,Especially for You,records/201/PXL_20240916_010637217.jpg
,,Dire Straits,Dire Straits,records/201/PXL_20240916_010642635.jpg
Vanguard,VSD-79160,Joan Baez,Joan Baez/5,records/201/PXL_20240916_010647528.jpg
Nonesuch Records,H-72009,Shinichi Yuize,Japanese Koto Classics,records/201/PXL_20240916_010653595.jpg
,,"Peter, Paul & Mary",A Holiday Celebration,records/201/PXL_20240916_010659723.jpg
Columbia Masterworks,MS 6090,The Mormon Tabernacle Choir,Christmas Carols Around the World,records/201/PXL_20240916_010705043.jpg
,,John Denver,Greatest Hits,records/201/PXL_20240916_010711324.MP.jpg
,,Cleo Laine & John Williams,Let the Music Take You,records/201/PXL_20240916_010720734.jpg
Musical Heritage Society,MHS 7257W,"Choir of New College, Oxford",Carols from New College,records/201/PXL_20240916_010726481.MP.jpg
Nonesuch Records,H-72048,Village Music of the Bhojpuri-Speaking Area of India,Chant the Names of God,records/201/PXL_20240916_010731516.MP.jpg
Not specified,MLRS Stereo 4483,Harvard Glee Club,Christmas with the Harvard Glee Club,records/201/PXL_20240916_010737243.MP.jpg
,,"Peter, Paul & Mary",Reunion,records/201/PXL_20240916_010742654.jpg
Nonesuch Explorer Series,,Recorded in Ghana by Stephen Jay,Africa: Ancient Ceremonies & Dance Music & Songs of Ghana,records/201/PXL_20240916_010754641.jpg
Columbia,CS 9269,Simon & Garfunkel,Sounds of Silence,records/201/PXL_20240916_010802758.jpg
Nonesuch Records,H-72014,Various Artists,Classical Music of India,records/201/PXL_20240916_010810614.jpg
,,Randy Zombola,Snowflake Breakdown,records/201/PXL_20240916_010816105.MP.jpg
Elektra,EKS-7322,The Incredible String Band,The Incredible String Band,records/201/PXL_20240916_010821849.jpg
Elektra,EKS-75049,Carly Simon,Eponymous,records/201/PXL_20240916_010827736.MP.jpg
ATCO,SD 33-232,Cream,Disraeli Gears,records/201/PXL_20240916_010836874.jpg
