record_label,catalog_number,artist,album,image
Musical Heritage Society,MHS 3282,Sabicas,Flaming Flamenco Guitar,records/114/PXL_20240919_030807548.jpg
ABC Records,ABCS-614,Sabicas,Artistry in Flamenco,records/114/PXL_20240919_030812914.MP.jpg
RCA Victor,LPM-3644,Juan Serrano,Flamenco Songs with Passion and Imagination,records/114/PXL_20240919_030818573.MP.jpg
Saga,,John Dowland,Ayres and Lute Lessons,records/114/PXL_20240919_030822750.MP.jpg
Nonesuch,H-72039,Various Artists,The Persian Santur: Music of Iran,records/114/PXL_20240919_030828408.jpg
,,Randy Zombola,Snowflake Breakdown,records/114/PXL_20240919_030832901.jpg
Connoisseur Society,CS 2049,João Carlos Martins,"The Well-Tempered Clavier, Book 1 - Preludes and Fugues 18-24",records/114/PXL_20240919_030840449.jpg
Columbia Masterworks,MS 6538,Glenn Gould,The Goldberg Variations,records/114/PXL_20240919_030845956.jpg
RCA Victor Red Seal,LSC-2614,Reiner / Chicago Symphony,Beethoven 'Pastoral' Symphony,records/114/PXL_20240919_030853260.jpg
Argo,,Colin Tilney,English Virginal Music,records/114/PXL_20240919_030858445.jpg
The Musical Heritage Society Inc.,MHS 790,Johann Sebastian Bach,Goldberg Variations,records/114/PXL_20240919_030905123.jpg
Angel,S-36059,Igor Kipnis,"The Partitas for Harpsichord No. 5 in G, No. 6 in E minor",records/114/PXL_20240919_030910663.jpg
Columbia Masterworks,MS 7283,Igor Kipnis,The Harmonious Blacksmith,records/114/PXL_20240919_030916806.jpg
Columbia Masterworks,M 30271,Igor Kipnis,Bach on the Harpsichord and Clavichord,records/114/PXL_20240919_030922116.jpg
Deutsche Grammophon,139 304,Nicanor Zabaleta,Harfe,records/114/PXL_20240919_030927126.jpg
Columbia Masterworks,MS 6141,"Carl Nielsen, Leonard Bernstein, New York Philharmonic",Symphony No. 5 Op. 50,records/114/PXL_20240919_030935685.jpg
Columbia Masterworks,M2 32510,John Williams,John Williams Plays Bach: The Complete Lute Music on Guitar,records/114/PXL_20240919_030941316.jpg
Columbia,MS 6538,Bach/Glenn Gould,The Art of the Fugue,records/114/PXL_20240919_030947146.MP.jpg
Columbia Masterworks,M 31512,Glenn Gould,Handel: Suites for Harpsichord Nos. 1-4,records/114/PXL_20240919_030951547.MP.jpg
Columbia,M 35108,John Williams,John Williams and Friends,records/114/PXL_20240919_030958930.jpg
Columbia,S 30579,John Williams,More Virtuoso Music for Guitar,records/114/PXL_20240919_031004250.jpg
Columbia Masterworks,M 31134,"John Williams, Rafael Puyana",Music for Guitar and Harpsichord,records/114/PXL_20240919_031012376.jpg
CBS,42119,John Williams,Echoes of London,records/114/PXL_20240919_031017744.jpg
Everest,3219,John Williams,The Guitar Artistry of John Williams,records/114/PXL_20240919_031032364.jpg
Everest,3195,John Williams,The Virtuoso Guitar,records/114/PXL_20240919_031054045.jpg
