record_label,catalog_number,artist,album,image
Musical Heritage Society,MHS 1030,Zoltan Kodaly / André Jolivet,"Sonata, Op. 8 / Suite en Concert",records/113/PXL_20240919_024821261.jpg
Yorkshire Records,STPL 511.850,"Wiener Symphoniker, Eduard van Remoortel",Prélude à l'après-midi d'un faune / Boléro / L'apprenti sorcier / España,records/113/PXL_20240919_024827274.jpg
EMI Digital,DS-37360,"Klaus Tennstedt, Berlin Philharmonic",Mendelssohn Symphony No. 4 in A 'Italian' / Schumann Symphony No. 4 in D minor,records/113/PXL_20240919_024833143.jpg
Columbia Masterworks,M 34571,Pinchas Zukerman,Baroque Violin Concertos,records/113/PXL_20240919_024840731.jpg
MHS,MHS 3576,Francis Poulenc,Concerto for Two Pianos and Orchestra / Sonata for Two Pianos,records/113/PXL_20240919_024845886.jpg
Melodiya,R-40019,"Yevgeny Svetlanov, U.S.S.R. Symphony Orchestra",Scriabin: The Poem of Ecstasy / Rachmaninoff: The Isle of the Dead,records/113/PXL_20240919_024852622.jpg
Nonesuch,H-71185,John Field,Nocturnes,records/113/PXL_20240919_024857158.jpg
The Musical Heritage Society Inc.,MHS 1700,Wolfgang Amadeus Mozart,"Fantasy in C Minor, K. 475 / Piano Sonata in C Minor, K. 457 / Andante in F Major, K. 616",records/113/PXL_20240919_024903380.jpg
the musical heritage society inc.,MHS 1408,Joaquin Turina,Sanlucar de Barrameda / Danzas Fantasticas / Zapateado / Sacro Monte,records/113/PXL_20240919_024907755.jpg
Musical Heritage Society,MHS 1518,Enrique Granados,Twelve Spanish Dances for Piano,records/113/PXL_20240919_024914215.MP.jpg
Nonesuch,H-71248,Joshua Rifkin,Piano Rags by Scott Joplin,records/113/PXL_20240919_024919280.jpg
Nonesuch,H-71168,Jørgen Ernst Hansen,Master Works for Organ Volume 2: The North German School,records/113/PXL_20240919_024925988.jpg
Nonesuch,H-1150,"François Couperin, Louis Couperin",Master Works for Organ Volume 4,records/113/PXL_20240919_024930745.jpg
Musical Heritage Society,MHS 3532,Johann Pachelbel,Organ Music,records/113/PXL_20240919_024936599.jpg
MHS,4378,William Albright,Sweet Sixteenths: A Ragtime Concert,records/113/PXL_20240919_024941000.jpg
Folkways Records,FL 9859,Victor L. Kaplan,Readings from 'Canterbury Tales',records/113/PXL_20240919_024946718.jpg
Musical Heritage Society,MHS 1671,Johann Sebastian Bach,Cantata BWV 91 & Cantata BWV 122,records/113/PXL_20240919_024953331.MP.jpg
Archiv Produktion,2708 020,Georg Friedrich Händel,Israel in Egypt,records/113/PXL_20240919_025003256.jpg
The Musical Heritage Society Inc.,MHS 1401,Johann Sebastian Bach,"Cantata No. 19 ""Es erhub sich ein Streit"" / Cantata No. 191 ""Gloria in excelsis Deo""",records/113/PXL_20240919_025015451.jpg
Musical Heritage Society,MHS 3379,Johann Sebastian Bach,Cantata No. 153 & Cantata No. 161,records/113/PXL_20240919_025029949.jpg
MHS,3587,Johann Sebastian Bach,Der Streit Zwischen Phoebus und Pan,records/113/PXL_20240919_025038851.jpg
The Musical Heritage Society Inc.,MHS 1315,Johann Sebastian Bach,"Cantata No. 88 ""Siehe, ich will viel Fischer aussenden"" / Cantata No. 150 ""Nach dir, Herr, verlanget mich""",records/113/PXL_20240919_025044651.jpg
Nonesuch,H-71188,Dietrich Buxtehude,Master Works for Organ Volume 6,records/113/PXL_20240919_025051898.jpg
Musical Heritage Society Inc.,MHS 1417,Johann Sebastian Bach,Cantata No. 29 & Cantata No. 135,records/113/PXL_20240919_025057039.jpg
Vanguard Everyman Classics,SRV-225 SD,J.S. Bach,Cantata No. 4: Christ lag in Todesbanden / Cantata No. 182: Himmelskönig sei willkommen,records/113/PXL_20240919_025103683.jpg
