record_label,catalog_number,artist,album,image
Seraphim,S/600,Various Artists,The Seraphim Guide to the Classics,records/156/PXL_20240926_041623510.jpg
Nonesuch,H-2014,Camerata Luitenistica and Le Rondeau de Paris,"Music at the Courts: Italy, Sweden & France",records/156/PXL_20240926_041839709.jpg
Columbia,D3S 769,"Johannes Brahms, George Szell, The Cleveland Orchestra",The Four Symphonies,records/156/PXL_20240926_041846289.jpg
Nonesuch,H-71020,Societa Cameristica di Lugano,"Baroque Masters of Venice, Naples, & Tuscany",records/156/PXL_20240926_041853086.jpg
Seraphim,IC-6048,Various Artists,Six Concertos,records/156/PXL_20240926_041901571.jpg
Philips,,Quartetto Italiano,Six String Quartets Dedicated to Haydn,records/156/PXL_20240926_041906759.jpg
RCA Victor Red Seal,LSC-1992,"Heifetz, Munch, Boston Symphony Orchestra",Beethoven Violin Concerto (in D),records/156/PXL_20240926_041912432.jpg
Deutsche Grammophon,BWV1001-1006,Henryk Szeryng,6 Sonaten und Partiten für Violine solo,records/156/PXL_20240926_041918586.jpg
Philips,,Mozart,Don Giovanni,records/156/PXL_20240926_041924679.jpg
