record_label,catalog_number,artist,album,image
Seraphim,S-60196,Fernando Germani,Bach at Royal Festival Hall London,records/128/PXL_20240920_020925286.jpg
Philips,PHC-9089,Pablo Casals,Beethoven Cello Sonatas Nos. 2 & 5,records/128/PXL_20240920_020933815.jpg
The Musical Heritage Society Inc.,MHS 1343,Johann Sebastian Bach,Cantata No. 63 & Cantata No. 151,records/128/PXL_20240920_020940592.jpg
Musical Heritage Society Inc.,MHS 1418,Johann Sebastian Bach,"Cantata No. 58 'Ach Gott, wie manches Herzeleid' / Cantata No. 72 'Alles nur nach Gottes Willen'",records/128/PXL_20240920_020945738.MP.jpg
Musical Heritage Society,MHS 1911,Johann Sebastian Bach,"Cantata No. 41 'Jesu, Nun Sei Gepreiset' / Cantata No. 96 'Herr Christ, Der Ein'ge Gottessohn'",records/128/PXL_20240920_020951648.MP.jpg
The Musical Heritage Society Inc.,1693,Johann Sebastian Bach,"Cantata No. 142 'Uns ist ein Kind geboren' / Cantata No. 62 'Nun komm, der Heiden Heiland'",records/128/PXL_20240920_020957678.MP.jpg
Nonesuch,HB-73013,Johann Sebastian Bach,Die Kunst der Fuge (The Art of Fugue),records/128/PXL_20240920_021005797.jpg
Angel,S-36607,Maurice & Marie-Madeleine Duruflé,Bach Organ Music from Soissons Cathedral,records/128/PXL_20240920_021011552.jpg
Angel,S-37076,Itzhak Perlman,"J.S. Bach: Violin Concertos, Album 2",records/128/PXL_20240920_021016613.jpg
Vanguard Cardinal Series,VCS-10003/4,Mahler,Symphony No. 2 in C Minor 'Resurrection',records/128/PXL_20240920_021023386.jpg
Musical Heritage Society,MHS 4419,"Jean-Claude Orliac, Betho Davezac",The 16th-Century French Guitar,records/128/PXL_20240920_021028664.jpg
Everest,3197,"Renata Tarrago, Guitar / Rosa Barbany, Soprano",Guitar Music and Songs of the Spanish Renaissance,records/128/PXL_20240920_021034317.jpg
MHS,1894,"Luis de Milán, Enrique de Valderrábano",Spanish Vihuelists of the 16th Century,records/128/PXL_20240920_021039864.jpg
MHS,3331,"Luys Narváez, Diego Pisador, Estaban Daza",Spanish Vihuelists of the 16th Century,records/128/PXL_20240920_021045068.jpg
Not specified,MHS 3077,"Alonso Mudarra, Miguel de Fuenllana",Spanish Vihuelists of the 16th Century,records/128/PXL_20240920_021050737.jpg
Nonesuch,H-71137,Johann Sebastian Bach,Lute Music,records/128/PXL_20240920_021056367.jpg
Telefunken,KS 3164,Toyohiko Satoh,Baroque Lute Recital,records/128/PXL_20240920_021101166.jpg
EMI,S-36884,Anthony Bailes,Lute Recital,records/128/PXL_20240920_021106226.jpg
Das Alte Werk,,Denis Gaultier,La Rhétorique des Dieux,records/128/PXL_20240920_021111407.jpg
RCA Victrola,VICS-1197,Tchaikovsky,Romeo and Juliet / Francesca da Rimini,records/128/PXL_20240920_021116592.jpg
Nonesuch,H-71271,Antonín Dvořák,"Symphonic Variations, Op.78 / Scherzo capriccioso, Op.66 / Notturno, Op.40",records/128/PXL_20240920_021121460.MP.jpg
Columbia,MS 7144,The Juilliard Quartet,"Dvořák: Quartet in F Major, 'American'; Smetana: Quartet in E Minor, 'From My Life'",records/128/PXL_20240920_021126326.jpg
Deutsche Grammophon,2530 075,Leoš Janáček,Sinfonietta · Taras Bulba,records/128/PXL_20240920_021131412.MP.jpg
Angel,S-36566,Janet Baker,A Treasury of English Songs,records/128/PXL_20240920_021137595.jpg
Columbia Masterworks,ML 5915,Philadelphia Orchestra / Eugene Ormandy / The Mormon Tabernacle Choir,Beethoven: The Ninth Symphony,records/128/PXL_20240920_021143637.jpg
