record_label,catalog_number,artist,album,image
MHS,3209/10/11,Tomas Luis de Victoria,Officium Hebdomadae Sanctae (Complete),records/150/PXL_20240925_045910601.jpg
Columbia Masterworks,MS 7073,Berlioz,Requiem,records/150/PXL_20240925_045917398.jpg
Vox,SVBX 5430,Bach,Keyboard Music (Complete) Vol. VI,records/150/PXL_20240925_045923255.jpg
Vox,SVBX 5455,Bach,Keyboard Music (Complete) Vol. II,records/150/PXL_20240925_045929865.jpg
Vox,SVBX 5343,J. S. Bach,Keyboard Music Vol. 1,records/150/PXL_20240925_045935874.jpg
Reader's Digest,RDA-178-A,Artur Rubinstein,The Artistry of Artur Rubinstein,records/150/PXL_20240925_045945288.MP.jpg
Philips,,Berlioz,Romeo et Juliette,records/150/PXL_20240925_045951437.MP.jpg
The Classics Record Library,,The Chamber Music Society of Lincoln Center,The Chamber Music Society of Lincoln Center,records/150/PXL_20240925_045959204.MP.jpg
Vox,SVBX 5437,J.S. Bach,Keyboard Music (Complete) Vol. IV,records/150/PXL_20240925_050005066.MP.jpg
Angel,SCLX-3851,Verdi,Aida,records/150/PXL_20240925_050011985.MP.jpg
