record_label,catalog_number,artist,album,image
Erato,STU 71127,Christian Lardé / Turibio Santos,Flute & Guitare,records/137/PXL_20240925_025205939.jpg
Angel,S-36896,"Rafael Frühbeck de Burgos, Alirio Diaz","Rodrigo: Concierto de Aranjuez for Guitar & Orchestra / Giuliani: Concerto in A for Guitar, Strings & Timpani",records/137/PXL_20240925_025213903.jpg
BIS,LP-183 STEREO,"Clas Pehrsson, Cecilia Peijel",Recorder & Guitar / Blockflöte & Gitarre,records/137/PXL_20240925_025220108.jpg
Everest,3236,Maria Livia Sao Marcos,The Classical Brazilian Guitar,records/137/PXL_20240925_025226351.MP.jpg
MHS,1651,"Mario Sicca, Rita Maria Fleres",Art of the Rococo: Works for Guitar and Piano,records/137/PXL_20240925_025232422.jpg
CBS Masterworks,M 34583,"Liona Boyd, Andrew Davis",The English Chamber Orchestra,records/137/PXL_20240925_025240679.jpg
MHS,3735,Domenico Scarlatti,Twelve Sonatas,records/137/PXL_20240925_025247923.jpg
"The Musical Heritage Society, Inc.",MHS 1120,Various Artists,"Lute, Guitar and Organ",records/137/PXL_20240925_025253535.jpg
Musical Heritage Society Inc.,MHS 1916,Turibio Santos,Five Centuries of French Guitar Music,records/137/PXL_20240925_025259328.jpg
The Musical Heritage Society Inc.,MHS 819,Arcangelo Corelli,Sonatas by Arcangelo Corelli,records/137/PXL_20240925_025307087.jpg
Musical Heritage Society Inc.,MHS 3021,Antonio Vivaldi,Six Sonatas for Cello and Harpsichord,records/137/PXL_20240925_025313357.MP.jpg
Request Records,SRLP 2028,Carlos Montoya,Recital,records/137/PXL_20240925_025323184.jpg
Musical Heritage Society,MHS 1512,Georg Philipp Telemann,"Trumpet Concerto in D Major, Viola Concerto in G Major, Concerto in C Major, Concerto in E Minor, Concerto in D Minor",records/137/PXL_20240925_025329034.jpg
Everest,3263,Carlos Montoya,Flamenco Fury,records/137/PXL_20240925_025335886.jpg
Unknown,Unknown,Unknown,Itinerario di Musica Antica,records/137/PXL_20240925_025341320.jpg
RCA Victrola,VICS-1408,Walter Gerwig,"The Art of the Lute, Vol. 2",records/137/PXL_20240925_025347022.jpg
L'Oiseau-Lyre,DSLO 8,Anthony Rooley and James Tyler,My Lute Awake!,records/137/PXL_20240925_025352896.jpg
Cambridge Records,CRS 2303,David Rhodes,Sonatas for Lute by Sylvius Leopold Weiss,records/137/PXL_20240925_025358920.jpg
The Musical Heritage Society Inc.,MHS 1420,Pöhlert Lute Ensemble,36 Dances from the Tablature of Jan of Lublin,records/137/PXL_20240925_025404811.jpg
Florilegium Series,DSLO 593,Nigel North,Pièces de Théorbe de Luth et de Guitare,records/137/PXL_20240925_025411594.MP.jpg
L'Oiseau-Lyre,,The Consort of Musicke,O Vilanella,records/137/PXL_20240925_025417757.jpg
Nonesuch,H-71338,Paul O'Dette,The English Lute,records/137/PXL_20240925_025423928.jpg
Saga,,James Tyler,Music for Merchants and Monarchs,records/137/PXL_20240925_025430136.jpg
L'Oiseau-Lyre,,Anthony Rooley and James Tyler,Renaissance Duets,records/137/PXL_20240925_025439627.jpg
Musical Heritage Society,MHS 3352,Tomas Luis De Victoria,Officium Defunctorum; Three Motets,records/137/PXL_20240925_025446546.jpg
Dover,97266-2,Lasso,St. Matthew Passion,records/137/PXL_20240925_025452710.jpg
