record_label,catalog_number,artist,album,image
Seraphim,ID-6063,Artur Schnabel,"The Complete Beethoven Society Recordings, 1932-37 Vol. 1 Sonatas, Nos. 1-10",records/154/PXL_20240926_014327944.jpg
MHS,834561,The Yankee Doodle Society,Popular Music in Jacksonian America,records/154/PXL_20240926_014334257.MP.jpg
London,OSA 1510,Wagner,Parsifal,records/154/PXL_20240926_014343223.MP.jpg
Seraphim,IC-6065,Artur Schnabel,"The Complete Beethoven Society Recordings, 1932-37 Vol. 3: Sonatas, Nos. 18-27",records/154/PXL_20240926_014405071.jpg
Seraphim,,Artur Schnabel,"The Complete Beethoven Society Recordings, 1932-37 Vol. 2: Sonatas, Nos. 11-17",records/154/PXL_20240926_014416038.jpg
RCA Red Seal,CRL3-2743,"The Guarneri Quartet, Beethoven",The Five Late Quartets and the Grosse Fuge,records/154/PXL_20240926_014421721.jpg
Columbia,D3S 801,"Bruno Walter, The Columbia Symphony Orchestra",Mozart: The Last Six Symphonies,records/154/PXL_20240926_014427480.jpg
Smithsonian,,George Frideric Handel,Messiah,records/154/PXL_20240926_014433132.jpg
