record_label,catalog_number,artist,album,image
Seraphim,S-60122,Rudolf Kempe,Strauss: Don Quixote,records/106/PXL_20240919_010017017.jpg
London,CMA 7216,Georg Solti,Bruckner: Symphony No. 7 in A Major / Wagner: Siegfried Idyll,records/106/PXL_20240919_010023608.jpg
Musical Heritage Society,MHS 3412,Siegfried Behrend,European Masters of the Classical Guitar,records/106/PXL_20240919_010029531.jpg
Nonesuch,H-71129,Johann Sebastian Bach,"Sinfonia, BWV 1046 / Cantata Sinfonie",records/106/PXL_20240919_010036323.jpg
,,The Beatles,1967-1970,records/106/PXL_20240919_010042097.jpg
,,The Beatles,1962-1966,records/106/PXL_20240919_010048253.jpg
Nonesuch,H-71057,François Couperin,Les Fastes de la Grande et Ancienne Ménestrandise / Les Folies Françaises / Pièces de Clavecin,records/106/PXL_20240919_010054432.jpg
,,Paul Simon,Still Crazy After All These Years,records/106/PXL_20240919_010058895.jpg
Columbia,CS 9049,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",records/106/PXL_20240919_010104885.jpg
Capitol Records,T 2576,The Beatles,Revolver,records/106/PXL_20240919_010109406.jpg
,,Randy Zombola,Snowflake Breakdown,records/106/PXL_20240919_010115366.jpg
Chess Records,,Howlin' Wolf,His Greatest Sides Volume One,records/106/PXL_20240919_010119895.jpg
Chess,,Muddy Waters,At Newport 1960,records/106/PXL_20240919_010125572.jpg
Atlantic,,Various Artists,Atlantic Blues: Chicago,records/106/PXL_20240919_010130031.jpg
GNP Crescendo,,John Lee Hooker,The Best of John Lee Hooker,records/106/PXL_20240919_010136159.jpg
,,norman blake,old and new,records/106/PXL_20240919_010141713.MP.jpg
,,The Reasonable Band,Better Times A' Coming,records/106/PXL_20240919_010147195.jpg
RCA,AFL1-1987,Cleo Laine & John Williams,Best Friends,records/106/PXL_20240919_010152992.jpg
Crown Records,,B.B. King,King of the Blues,records/106/PXL_20240919_010253891.jpg
Verve,MGVS-6109,Duke Ellington and Johnny Hodges,Side by Side,records/106/PXL_20240919_010301729.jpg
Federal,KING-5012X,Freddie King,All His Hits,records/106/PXL_20240919_010307814.jpg
Westminster Gold,WGS-8100,John Williams,Spanish Guitar,records/106/PXL_20240919_010313869.jpg
,,Steeleye Span,Below the Salt,records/106/PXL_20240919_010322140.jpg
Hexagone,883 006,Malicorne,Malicorne,records/106/PXL_20240919_010329890.jpg
,,Steeleye Span,Now We Are Six,records/106/PXL_20240919_010343807.jpg
