record_label,catalog_number,artist,album,image
Musical Heritage Society,MHS 4576,"Franz Schubert, Wolfgang Amadeus Mozart",Works for Violin and Orchestra,records/148/PXL_20240925_044645358.jpg
Nonesuch,H-71008,Johann Sebastian Bach,Brandenburg Concertos,records/148/PXL_20240925_044651107.jpg
The Musical Heritage Society Inc.,MHS 1526/27,"William Byrd, Orlando Gibbons, Thomas Weelkes, Thomas Tallis, Thomas Tompkins, John Redford",The Easter Liturgy of the Anglican Church,records/148/PXL_20240925_044657239.jpg
RCA Red Seal,VIC-2702,Artur Rubinstein,"The Piano Concertos No. 1 in D Minor, No. 2 in B-flat",records/148/PXL_20240925_044702540.jpg
Columbia,M2 34576,Glenn Gould,The English Suites (Complete),records/148/PXL_20240925_044711823.jpg
