record_label,catalog_number,artist,album,image
,,Richard Wagner,Die Walküre,records/151/PXL_20240925_062811499.jpg
Deutsche Grammophon,,Smetana,Má Vlast,records/151/PXL_20240925_062819301.jpg
Murray Hill Records,S-3688,Dvorak,Complete Symphonies,records/151/PXL_20240925_062827657.jpg
,,Richard Wagner,Siegfried,records/151/PXL_20240925_062835051.jpg
Angel,SB-3710,"Otto Klemperer, New Philharmonia Orchestra",Symphony No. 7 'Song of the Night',records/151/PXL_20240925_062841199.jpg
Philips,,Mahler,Symphony No. 8 'Symphony of a Thousand',records/151/PXL_20240925_062850322.jpg
Angel,,"Beethoven, Klemperer",Nine Symphonies,records/151/PXL_20240925_062858636.MP.jpg
,,Richard Wagner,Götterdämmerung,records/151/PXL_20240925_062905758.jpg
,,Richard Wagner,Introduction to the Operas and Das Rheingold,records/151/PXL_20240925_062915953.jpg
,MHS STEREO 4007/10,Modest Mussorgsky,Boris Godunov,records/151/PXL_20240925_062924561.jpg
