record_label,catalog_number,artist,album,image
Nonesuch,H-71030,"Vincent Abato, Norman Fickett, John Barrows",Ibert / Glazounov / Villa-Lobos,records/141/PXL_20240925_032627468.jpg
Musical Heritage Society,MHS 1701,Johann Nepomuk Hummel,"Concerto in G Major, Op. 73 / Introduction & Variations, Op. 102 / Society Rondo, Op. 117",records/141/PXL_20240925_032632790.jpg
Nonesuch,H-71255,George Crumb,Ancient Voices of Children,records/141/PXL_20240925_032638840.jpg
Nonesuch,H-71132,Darius Milhaud,Le Boeuf sur le Toit / La Création du Monde,records/141/PXL_20240925_032644655.jpg
Musical Heritage Society,MHS 651,Luigi Boccherini,"Symphonies Nos. 1, 3, 5, 6",records/141/PXL_20240925_032651888.jpg
RCA Victor,VICS-2659,Fritz Reiner / Chicago Symphony,Also Sprach Zarathustra,records/141/PXL_20240925_032658068.jpg
Nonesuch,H-71293,Mahler,Symphony No. 4,records/141/PXL_20240925_032712518.jpg
Odyssey,Y 30034,"Prokofiev, Ormandy, Philadelphia Orchestra",Symphony No. 5,records/141/PXL_20240925_032718648.jpg
Columbia Masterworks,MS 6196,"The Philadelphia Orchestra, Eugene Ormandy, Conductor",Finlandia,records/141/PXL_20240925_032724998.jpg
London ffrr,CS 6582,"Georg Solti, Vienna Philharmonic",Symphony No. 3 & Symphony No. 4,records/141/PXL_20240925_032731654.MP.jpg
London,SPC 21033,Camarata Conducting Kingsway Symphony Orchestra & Chorus,The Exotic Rimsky-Korsakov,records/141/PXL_20240925_032744203.jpg
Columbia Masterworks,MS 7294,Pinchas Zukerman,Mendelssohn Violin Concerto / Tchaikovsky Violin Concerto,records/141/PXL_20240925_032751752.MP.jpg
Candide,CE 31119,Mozart,"Piano Concerti No. 17 in G Major, K. 453 & No. 27 in B-flat Major, K. 595",records/141/PXL_20240925_032809679.MP.jpg
Musical Heritage Society,MHS 1122,Niccolo Paganini,"Caprices for Solo Violin, Op. 1",records/141/PXL_20240925_032815618.jpg
London Jubilee,411 853-1,Radu Lupu,"Mozart Piano Concertos No. 12 in A, K. 414; No. 21 in C, K. 467 'Elvira Madigan'",records/141/PXL_20240925_032821385.jpg
MHS,4807A,Benjamin Britten,A Ceremony of Carols,records/141/PXL_20240925_032832659.MP.jpg
Angel,S-36863,André Previn,Alexander Nevsky,records/141/PXL_20240925_032838297.jpg
Seraphim,60022,Carlo Maria Giulini,Stravinsky: The Firebird - Suite (1919) / Bizet: Children's Games / Ravel: Mother Goose - Suite,records/141/PXL_20240925_032844055.jpg
Nonesuch,D-2001,Schoenberg,"Five Pieces for Orchestra, Op. 16 / Chamber Symphony, Op. 9",records/141/PXL_20240925_032850856.jpg
Columbia,MS 7113,"Leonard Bernstein, New York Philharmonic",Prokofiev Classical Symphony / Bizet Symphony in C,records/141/PXL_20240925_032857975.jpg
Angel,S-36868,Neville Marriner conducting The Academy of St. Martin-in-the-Fields,English Music for Strings,records/141/PXL_20240925_032905208.jpg
Musical Heritage Society,MHS 3421,Serge Prokofiev,The Two Violin Concertos,records/141/PXL_20240925_032911552.jpg
Nonesuch,H-71189,Paul Hindemith,"Die Serenaden, Op. 35",records/141/PXL_20240925_032918149.jpg
The Bach Guild,HM 30 SD,Wolfgang Amadeus Mozart,Concerto in E Flat,records/141/PXL_20240925_032924983.jpg
Yorkshire Records,SPR 510 220,Rimsky-Korsakov,Scheherazade,records/141/PXL_20240925_032933651.jpg
