record_label,catalog_number,artist,album,image
MHS,3599,Oscar Caceres,The Great Etudes for Guitar,records/146/PXL_20240925_040507283.jpg
Musical Heritage Society,MHS 890,Johann Sebastian Bach / Silvius Leopold Weiss,Suite in G Major,records/146/PXL_20240925_040514246.MP.jpg
Musical Heritage Society Inc.,MHS 1055,Various Artists,Masters of the Lute and Guitar,records/146/PXL_20240925_040520726.jpg
Capitol Records,DT-5023,Laurindo Almeida,The Best of Laurindo Almeida,records/146/PXL_20240925_040526431.jpg
The Musical Heritage Society Inc.,MHS 1428,Ernesto Bitetti,Four Centuries of Italian Guitar Music,records/146/PXL_20240925_040532394.jpg
MMG,1138,Trio Sonata,"Music for flute, oboe & guitar",records/146/PXL_20240925_040538262.jpg
Baroque Records,2818,"Barcelona String Quartet, J. Toledano, Guitar","Quartet in A for Guitar & Strings / Quartet in D 'The Lark', op. 64/5",records/146/PXL_20240925_040544749.jpg
Nonesuch,H-71339,Rey de la Torre,Spanish Music for the Classic Guitar,records/146/PXL_20240925_040551770.jpg
MMG,MMG 1166,Trio Sonata,The Second Album,records/146/PXL_20240925_040558857.jpg
Golden Lin,SGLP 7003,Peter Kraus & Mark Bird,Spanish Baroque,records/146/PXL_20240925_040604374.MP.jpg
CBS,S 72748,Sergio and Eduardo Abreu,The Guitars of Sergio and Eduardo Abreu,records/146/PXL_20240925_040610676.jpg
The Musical Heritage Society Inc.,OR 321,Ernesto Bitetti,Suite in A Major / Suite in G Major,records/146/PXL_20240925_040616067.jpg
Angel,S-37036,Oscar Ghiglia,Oscar Ghiglia plays Scarlatti and other Baroque masters,records/146/PXL_20240925_040621992.jpg
"The Musical Heritage Society, Inc.",MHS 1053,Giuseppe Torelli,"Sonata a Cinque in D Major, Gg. 1 / Violin Concerto in D Minor, Op. 8, No. 7 / Sonata a Cinque in D Major, Gg. 7 / Violin Concerto in A Major, Op. 8, No. 10 / Sonata in G Major, Gg. 62",records/146/PXL_20240925_040628531.jpg
Musical Heritage Society,MHS 565,Rodrigo Riera,A Recital of 16th and 17th Century Guitar Music,records/146/PXL_20240925_040634389.jpg
Turnabout,TV 34728,"Leo Witoszynskyj, Rosario Marciano",Music for Guitar & Piano,records/146/PXL_20240925_040640181.jpg
Odyssey,32 16 0220,Jose Luis Gonzalez,20th Century Guitar Music,records/146/PXL_20240925_040647085.jpg
Remington,R-199-151,Rey De La Torre,Classic Guitarist,records/146/PXL_20240925_040652670.jpg
Nonesuch,H-71118,Ida Presti & Alexandre Lagoya,Music for the Classic Guitar,records/146/PXL_20240925_040658651.jpg
The Musical Heritage Society Inc.,MHS 991,Brigitte Zaczek,Music for Guitar from the Spanish Renaissance and Rococo,records/146/PXL_20240925_040703669.jpg
Musical Heritage Society,1950,Betto Davezac,Elizabethan Guitar Music,records/146/PXL_20240925_040708687.jpg
Deutsche Grammophon,2530 079,Siegfried Behrend,Englische Gitarrenmusik,records/146/PXL_20240925_040714175.jpg
London,CS 6601,Narciso Yepes,Guitar Concerto / Chaconne (For Guitar) / Concierto Levantino for Guitar & Orchestra,records/146/PXL_20240925_040719859.jpg
Musical Heritage Society,MHS 4826Q,Eliot Fisk,The Latin American Guitar,records/146/PXL_20240925_040727007.jpg
Mercury,SR 90460,The Romeros,Vivaldi Guitar Concertos,records/146/PXL_20240925_040732830.jpg
