record_label,catalog_number,artist,album,image
,,The Chieftains,Boil the Breakfast Early,records/108/PXL_20240919_011631828.MP.jpg
Kent Records,KST-526,John Lee Hooker,Original Folk Blues,records/108/PXL_20240919_011636772.jpg
Flying Fish,FF 407,Bryan Bowers,The View from Home,records/108/PXL_20240919_011643858.jpg
Swaggie Records,,Django Reinhardt,The Jazz Makers,records/108/PXL_20240919_011657846.MP.jpg
,,Django Reinhardt / Stephane Grappelli,Django 3: Compositions Volume 3,records/108/PXL_20240919_011702503.jpg
MCA Records,MCA-27030,Bobby Bland,Here's The Man!!!,records/108/PXL_20240919_011707902.jpg
Chess,LP 1448,Chuck Berry,rockin' at the hops,records/108/PXL_20240919_011712552.jpg
abc Dunhill,,B.B. King & Bobby Bland,Together For The First Time... Live,records/108/PXL_20240919_011718548.jpg
Rounder Records,0094,Derek Lillywhite,Banjo Reminiscences,records/108/PXL_20240919_011721935.MP.jpg
Verve,V-8667,Jimmy Smith,Hoochie Cooche Man,records/108/PXL_20240919_011729398.jpg
,,Kevin Burke & Micheál Ó Domhnaill,Promenade,records/108/PXL_20240919_011735545.MP.jpg
Atlantic,8054,Ray Charles,Do the Twist! with Ray Charles,records/108/PXL_20240919_011740256.MP.jpg
Chess,LP 1431,Bo Diddley,Bo Diddley,records/108/PXL_20240919_011747447.MP.jpg
,,Randy Zombola,Snowflake Breakdown,records/108/PXL_20240919_011753086.MP.jpg
Columbia,CL 2105,Bob Dylan,The Times They Are A-Changin',records/108/PXL_20240919_011757204.jpg
Columbia,KCS 9463,Bob Dylan,Bob Dylan's Greatest Hits,records/108/PXL_20240919_011803870.jpg
Warner Bros. Records,WS 1473,"Peter, Paul and Mary",Moving,records/108/PXL_20240919_011807622.jpg
Vanguard,VSD-6560,Joan Baez,The First 10 Years,records/108/PXL_20240919_011814289.jpg
,,Montoya,Sixteen Immortal Performances Gypsy Flamenco,records/108/PXL_20240919_011818204.jpg
,,Dire Straits,Brothers in Arms,records/108/PXL_20240919_011823383.jpg
Columbia,MS 6459,"Leonard Bernstein, New York Philharmonic, The Mormon Tabernacle Choir",The Joy of Christmas,records/108/PXL_20240919_011828057.jpg
Nonesuch,H-71248,Joshua Rifkin,Piano Rags by Scott Joplin,records/108/PXL_20240919_011835667.MP.jpg
Nonesuch,H-71333,Joshua Rifkin,Piano Rags by Scott Joplin Volume III,records/108/PXL_20240919_011840318.jpg
Deutsche Grammophon,138 783,Mozart,"Piano Concertos No. 17, G Major, K. 453 / No. 21, C Major, K. 467",records/108/PXL_20240919_011847255.jpg
Westminster,,Allegri Quartet,"quartets, op. 55 (complete)",records/108/PXL_20240919_011854132.jpg
