record_label,catalog_number,artist,album,image
Red Seal Digital,,Amsterdam Guitar Trio,Vivaldi: The Four Seasons,records/133/PXL_20240925_022722860.jpg
Deutsche Grammophon,2531 113,Narciso Yepes,"Guitar Music by: Leo Brouwer, Ferdinando Carulli, Michel Conge, August Kühnel, Thomas Robinson, Fernando Sor",records/133/PXL_20240925_022733574.jpg
Telefunken,,Consortium Classicum,Eine kleine Nachtmusique,records/133/PXL_20240925_022739394.jpg
Philips,,"Boccherini, Pepe Romero, Academy of St. Martin-in-the-Fields' Chamber Ensemble","Guitar Quintets Nos. 4, 5, & 6",records/133/PXL_20240925_022744847.jpg
Sheffield Lab,,Michael Newman,Michael Newman,records/133/PXL_20240925_022751469.jpg
Odyssey,,"Jean-Pierre Rampal, René Bartoli",Music for Flute and Guitar: An 18th-Century Serenade,records/133/PXL_20240925_022757375.jpg
Turnabout,,Manuel Barrueco,Suite Española / Spanish Dances,records/133/PXL_20240925_022803004.jpg
ABC Records,ABC/ATS 20005,Barbosa-Lima,In a Scarlatti Guitar Recital,records/133/PXL_20240925_022809030.jpg
Angel,36282,Oscar Ghiglia,Guitar Music of Four Centuries,records/133/PXL_20240925_022815111.jpg
Westminster Gold,WGS-8180,Ernesto Bitetti,Contemporary Music for Guitar,records/133/PXL_20240925_022821294.jpg
Deutsche Grammophon,2530 140,Heitor Villa-Lobos,12 Etüden · 5 Präludien,records/133/PXL_20240925_022827891.jpg
Deutsche Grammophon,2530 159,Narciso Yepes,Música Española,records/133/PXL_20240925_022833704.MP.jpg
Deutsche Grammophon,2531 350,Georg Philipp Telemann,Gitarren-Duos · Guitar Duos,records/133/PXL_20240925_022839775.jpg
EMI Angel,S-37841,Guy Lukowski,Guitar Music of Barrios,records/133/PXL_20240925_022845756.jpg
Deutsche Grammophon,2530 096,Narciso Yepes,Werke für Gitarre: Works for Guitar,records/133/PXL_20240925_022851760.jpg
Philips,,Pepe Romero,Guitar Sonatas/Gitarrensonaten op. 22 & 25,records/133/PXL_20240925_022857434.jpg
Deutsche Grammophon,2530 461,Johann Sebastian Bach,Werke für Laute I - Works for Lute I,records/133/PXL_20240925_022903335.jpg
Philips,6514 163,Pepe Romero,Partita BWV 1004 & Suite BWV 1009,records/133/PXL_20240925_022908897.jpg
The Musical Heritage Society Inc.,MHS 1056,Heitor Villa-Lobos,Twelve Etudes for Guitar,records/133/PXL_20240925_022914852.jpg
Not specified,Not specified,Manuel Barrueco,"Sonatas by Scarlatti, Cimarosa, Paganini, Giuliani",records/133/PXL_20240925_022920504.jpg
CRG Records,CRG-1,Lawrence Johnson,Classic Recordings for Guitar,records/133/PXL_20240925_022927597.jpg
Everest,3287,Laurindo Almeida,Spanish Guitar Recital,records/133/PXL_20240925_022933145.jpg
Turnabout,QVX 34647,Konrad Ragossnig,Baroque Guitar Concerti,records/133/PXL_20240925_022939743.jpg
Decca,DL 79931,Segovia,Segovia and the Guitar,records/133/PXL_20240925_022946364.jpg
Decca Gold Label Records,DL 710112,Segovia,Segovia,records/133/PXL_20240925_022952385.jpg
