record_label,catalog_number,artist,album,image
Nonesuch,H-71055,Roger Blanchard Vocal Ensemble,Music from the Chapel of Charles V,records/140/PXL_20240925_032023152.jpg
Deutsche Grammophon,2532 033,Herbert von Karajan,Parsifal,records/140/PXL_20240925_032030847.jpg
MHS,4261,The Harvard Glee Club,Celebrate with The Harvard Glee Club: Two Renaissance Masses for Equal Voices,records/140/PXL_20240925_032036487.jpg
Vanguard,3444,Various Artists,An Elizabethan Evening,records/140/PXL_20240925_032043229.jpg
Musical Heritage Society Inc.,MHS 3167,Wartburg College Choir,The Wartburg College Choir,records/140/PXL_20240925_032049840.jpg
Columbia Masterworks,,"Eugene Ormandy, The Philadelphia Orchestra",Shostakovich Fifth Symphony,records/140/PXL_20240925_032055880.jpg
Vox,PL 9740,Palestrina,"Le Vergini, Super Flumina Babylonis, Stabat Mater",records/140/PXL_20240925_032102370.MP.jpg
Argo,,The London Early Music Group,Italian Airs and Dances (1500-1540),records/140/PXL_20240925_032110105.jpg
Nonesuch,H-71028,The Ancient Instrument Ensemble of Paris,French Dances of the Renaissance,records/140/PXL_20240925_032116549.jpg
Westminster,W-9203,Handel,"Concerti Grossi, Op. 6",records/140/PXL_20240925_032123036.jpg
MHS,4085,Michel Corrette / Henri Desmarest,Laudate Dominum / Mystères de Notre Seigneur Jésus Christ,records/140/PXL_20240925_032129273.jpg
Pirouette,IAS 19004,Palestrina / Marenzio,Missa Brevis / Madrigali,records/140/PXL_20240925_032135761.MP.jpg
Musical Heritage Society,MHS 1000,Josquin des Prés,"Missa Pange Lingua / Miserere Mei, Deus",records/140/PXL_20240925_032143347.jpg
Philips,6833 001,Musica Reservata,16th Century Italian Dance Music,records/140/PXL_20240925_032150269.jpg
The Musical Heritage Society Inc.,MHS 1831,Luigi Cherubini,Requiem in D Minor,records/140/PXL_20240925_032156779.MP.jpg
Washington Records,WR-405,"Milan Chamber Orchestra, Newell Jenkins (conductor)",Torelli Tercentenary Release,records/140/PXL_20240925_032204485.jpg
Deutsche Grammophon,136 433,Richard Wagner,Tristan und Isolde,records/140/PXL_20240925_032210931.jpg
Musical Heritage Society,MHS 3032,Various Artists,Las Huelgas Codex,records/140/PXL_20240925_032217846.jpg
London ffrr,,Sutherland,Sutherland Sings Wagner,records/140/PXL_20240925_032224887.jpg
Musical Heritage Society,MHS 1061,George Frideric Handel,Funeral Anthem,records/140/PXL_20240925_032230751.jpg
Angel,S-37469,David Munrow & The Early Music Consort of London,Renaissance Suite,records/140/PXL_20240925_032237221.jpg
Nonesuch Records,MHS 4122,Jacob Obrecht,Missa Fortuna Desperata,records/140/PXL_20240925_032244188.jpg
Angel,36013,The Roger Wagner Chorale,Echoes from a 16th Century Cathedral,records/140/PXL_20240925_032250847.jpg
Esoteric,ES-506,J. K. F. Fischer,The Nine Muses: Suites for Harpsichord,records/140/PXL_20240925_032258508.jpg
Philips,9500 645,Michala Petri Trio,"Telemann: Sonatas, Fantasies & Partita",records/140/PXL_20240925_032307824.jpg
