record_label,catalog_number,artist,album,image
Vox,STPL 514.300,Friedrich Milde and Theodora Schulze,Oboe Concertos,records/301/PXL_20240916_011801290.jpg
Angel,36330,"Yehudi Menuhin, Sir Adrian Boult, New Philharmonia Orchestra",Elgar Violin Concerto,records/301/PXL_20240916_011808262.MP.jpg
Musical Heritage Society,MHS 3025,Antonin Dvořák,"Piano Concerto in G Minor, Op. 33",records/301/PXL_20240916_011813057.jpg
Deutsche Grammophon Gesellschaft,139 424,Niccolo Paganini,Violinkonzerte Nr. 1 D-dur (in D major) / Nr. 2 h-moll (in B minor),records/301/PXL_20240916_011818307.MP.jpg
Vox,STPL 511.450,Mozart,Piano Concerti,records/301/PXL_20240916_011823802.jpg
RCA Victor Red Seal,LM-2924,Julian Bream,Lute Music from the Royal Courts of Europe,records/301/PXL_20240916_011829263.jpg
,,Linda Ronstadt,Greatest Hits,records/301/PXL_20240916_011834522.jpg
Columbia Masterworks,ML 6752,The Mormon Tabernacle Choir,The Holly and the Ivy,records/301/PXL_20240916_011839241.jpg
,,Joan Baez,Blowin' Away,records/301/PXL_20240916_011845479.jpg
MHS,4813M,"King's College Choir, Cambridge","Christmas Eve at King's College, Cambridge",records/301/PXL_20240916_011850381.jpg
Caedmon,TC 1231,J.R.R. Tolkien,Poems and Songs of Middle Earth,records/301/PXL_20240916_011857895.jpg
Impact,R-3150,Winifred Smith,A Christmas Delight,records/301/PXL_20240916_011903611.MP.jpg
Columbia Masterworks,M 35109,Waverly Consort,A Renaissance Christmas Celebration with the Waverly Consort,records/301/PXL_20240916_011908862.jpg
MHS,7224Y,Scottish National Orchestra Chorus,Christmas Carols,records/301/PXL_20240916_011914561.jpg
,,Joan Baez,From Every Stage,records/301/PXL_20240916_011919989.jpg
Columbia,CS 8696,Alexander Schreiner,Christmas with the Mormon Tabernacle Organ and Chimes,records/301/PXL_20240916_011925404.MP.jpg
Musical Heritage Society,MHS 7223A,The Galliard Brass Ensemble,Christmas Brass,records/301/PXL_20240916_011930314.MP.jpg
Diplomat,SX 1708,The Abbey Choir,The Little Drummer Boy,records/301/PXL_20240916_011935453.jpg
Halo,51500,Unknown,Christmas Music for the Winter Season,records/301/PXL_20240916_011940716.jpg
CBS,37205,"Jean-Pierre Rampal, Alexandre Lagoya, Michel Legrand",Pastorales de Noël,records/301/PXL_20240916_011946257.MP.jpg
Nonesuch,H-71334,Ensemble for Early Music,Christmas in Anglia: Early English Music for Christmastide,records/301/PXL_20240916_011954557.jpg
Columbia Masterworks,OS 2070,Various Artists,West Side Story,records/301/PXL_20240916_012000209.jpg
Asch Records / Folkways Records,AH 752 / FC 7702,Jean Ritchie,Marching Across the Green Grass and Other American Children Game Songs,records/301/PXL_20240916_012007171.jpg
World Pacific Records,WP-1842,Ravi Shankar,Live: Ravi Shankar at the Monterey International Pop Festival,records/301/PXL_20240916_012012739.jpg
RCA Victor Red Seal,LSC-2987,"Julian Bream, Lutenist",Dances of Dowland,records/301/PXL_20240916_012029614.jpg
