record_label,catalog_number,artist,album,image
BIS,LP-201,Jakob Lindberg,Scottish Lute Music,records/127/PXL_20240920_020617304.MP.jpg
Stereocraft,SUM 5055,"Kurt Equiluz, Konrad Ragossnig",Love Songs of the 18th Century,records/127/PXL_20240920_020622524.MP.jpg
RCA Victor Red Seal,LSC-2987,"Julian Bream, Lutenist",Dances of Dowland,records/127/PXL_20240920_020627632.jpg
Custom Records,CS 1005,Jose Barroso,The Flamenco Guitar of Jose Barroso,records/127/PXL_20240920_020633138.MP.jpg
Turnabout,TV 34016S,Hoffmann / Giuliani,Mandolin Quartet in F Major / Mandolin Quartet in A Major,records/127/PXL_20240920_020638565.jpg
Deutsche Grammophon,2530 069,Luigi Boccherini,"Gitarren-Quintette Nos. 4, 7, 9 'La Ritirata di Madrid'",records/127/PXL_20240920_020643760.jpg
Turnabout Vox,TV 34322,"Paganini, Luise Walker","Quartet for Guitar, Violin, Viola & Cello / Terzetto Concertante for Guitar, Viola & Cello",records/127/PXL_20240920_020650454.jpg
MHS,MHS STEREO 3555,Boccherini and Schnabel,Guitar Quintets,records/127/PXL_20240920_020656651.jpg
Philips,6500 789,"Boccherini, Pepe Romero, Academy of St. Martin-in-the-Fields' Chamber Ensemble",Guitar Quintets Nos. 3 & 9 'La Ritirata di Madrid',records/127/PXL_20240920_020701718.jpg
Everest,3242,"Charles Byrd, Richard Levitt",Guitar Music and Songs of Merrie Olde England,records/127/PXL_20240920_020707404.jpg
the musical heritage society inc.,MHS 1684,Manuel Cano,Collection of Andaluzian Tonadas,records/127/PXL_20240920_020712800.MP.jpg
Deutsche Grammophon,2530034,"Siegfried Behrend, Siegfried Fink, Claudia Brodzinska-Behrend",Guitar & Percussion,records/127/PXL_20240920_020717978.MP.jpg
Turnabout,TV 34327,Joseph Haydn,Music for Lute and Strings,records/127/PXL_20240920_020724008.MP.jpg
Philips,9500 665,"Pepe Romero, Academy of St. Martin-in-the-Fields' Chamber Ensemble","Guitar Quintets Nos. 1, 2, & 7",records/127/PXL_20240920_020728816.jpg
Digital,DS-37327,"Claude Bolling, Angel Romero, George Shearing",Concerto for Classic Guitar and Jazz Piano,records/127/PXL_20240920_020733616.jpg
Nonesuch,H-71349,Balthazar Benítez,Latin-American Music for the Classical Guitar,records/127/PXL_20240920_020741628.jpg
Arion,ARN 33682,Vincenzo Macaluso,"The 10 String Guitar Interprets Classics... Bach, Paganini, Bloch, Sor, Satie",records/127/PXL_20240920_020746604.jpg
Everest,3420,"Maria-Livia Sao Marcos, Solisti di Zagreb",Classical Guitar and Strings,records/127/PXL_20240920_020752563.jpg
Musical Heritage Society Inc.,MHS 525,Karl Scheit,Haydn and Handel with Guitar,records/127/PXL_20240920_020757157.jpg
Philips,,"Pepe Romero, Academy of St. Martin-in-the-Fields, Neville Marriner","Rodrigo: Fantasía para un gentilhombre / Giuliani: Introduction, Theme with Variations, and Polonaise, Op. 65",records/127/PXL_20240920_020802611.MP.jpg
Hungaroton,SLPX 12013,"László Szendrey Karper, Ede Banda, János Sebestyén","Six Sonatas for Guitar, Cello and Harpsichord",records/127/PXL_20240920_020808356.jpg
abc Classics,ABC-L-27006,Eugen M. Dombois,Die Barocklaute I,records/127/PXL_20240920_020815131.jpg
Arabesque Recordings,8131,Paul O'Dette,Early Venetian Lute Music,records/127/PXL_20240920_020820688.MP.jpg
Nonesuch Patrician,KS 528,Toyohiko Satoh,Baroque Lute Recital Vol. 2,records/127/PXL_20240920_020826504.jpg
RCA Red Seal,ARL1-0465,Julian Bream and John Williams,Julian and John/2,records/127/PXL_20240920_020831726.MP.jpg
