record_label,catalog_number,artist,album,image
MHS,4674L,Josquin Des Prez,Motets for the Blessed Virgin,records/501/PXL_20240916_014935302.jpg
Musical Heritage Society,MHS 3515,Cesar Franck,Symphonic Variations / Les Djinns / Les Eolides,records/501/PXL_20240916_014941670.jpg
Vox,STPL 513.130,Luigi Boccherini,"Sinfonia Concertante in E Major with Guitar Obbligato / Sinfonia in D Minor, 'La Casa del Diavolo'",records/501/PXL_20240916_014946903.jpg
MHS,MHS 3954,Heinrich Schütz,Cantiones Sacrae Volume 1,records/501/PXL_20240916_014951889.MP.jpg
London ffrr,CS 6776,"Vladimir Ashkenazy, The London Symphony Orchestra, André Previn",Rhapsody on a Theme of Paganini / Piano Concerto No. 4,records/501/PXL_20240916_014957015.MP.jpg
Philips,,Wagner,Preludes,records/501/PXL_20240916_015001959.jpg
Angel,SS-45008,The Berlin Philharmonic Orchestra,Karajan Conducts Wagner,records/501/PXL_20240916_015007845.jpg
Hall of Fame,HOF 506,"Sviatoslav Richter, César Franck",Piano Quintet in F Minor,records/501/PXL_20240916_015013985.jpg
RCA Victor Red Seal,LSC-2964,Julian Bream,20th Century Guitar,records/501/PXL_20240916_015021036.jpg
MHS,MHS 3742,Franz Liszt,A Piano Recital by Anne Queffelec,records/501/PXL_20240916_015025887.jpg
MK,MK 1533,Shostakovich,"Symphony No. 10 in E Minor, Op. 93",records/501/PXL_20240916_015032146.jpg
VOX,STPL 516.330,Beethoven,String Quartets,records/501/PXL_20240916_015037655.jpg
Parliament,PLPS 624,Berg,"Chamber Concerto, Piano, Violin & 13 Wind Instruments",records/501/PXL_20240916_015044112.jpg
Philips,,Liszt,Symphonic Poems,records/501/PXL_20240916_015049091.MP.jpg
London,CS 6640,Radu Lupu,Schumann & Grieg Piano Concertos,records/501/PXL_20240916_015054357.jpg
Deutsche Grammophon Gesellschaft,139 120 SLPM,"Edith Peinemann, Tschechische Philharmonie, Dirigent: Peter Maag",Violin Konzert A-Moll Op. 53 / Tzigane,records/501/PXL_20240916_015102515.MP.jpg
Deutsche Grammophon,138 674,Mstislav Rostropovich,"Schumann: Cello Concerto in A Minor, Op. 129 / Tchaikovsky: Rococo Variations, Op. 33",records/501/PXL_20240916_015108478.jpg
Turnabout Vox,TV 34175S,Charles Ives,String Quartet No. 1 (1896) 'A Revival Service' / String Quartet No. 2 (1907-1913),records/501/PXL_20240916_015114814.jpg
Everest,3109,Ernst von Dohnányi,Ernst von Dohnányi plays Beethoven: Piano Sonatas No. 30 and No. 31,records/501/PXL_20240916_015120953.MP.jpg
Deutsche Grammophon,SLPM 138 753 / LPM 18 753,"Wolfgang Schneiderhan, Janos Starker, Berlin Radio Symphony, Ferenc Fricsay",Brahms: Double Concerto,records/501/PXL_20240916_015129286.jpg
Turnabout,TV 34085,Bartók / Gyorgy Sandor,Piano Concerto No. 2 / Sonata for 2 Pianos and Percussion,records/501/PXL_20240916_015135027.jpg
Turnabout,TV-S 34483,Bartok,The Last Two Works,records/501/PXL_20240916_015141796.jpg
RCA Victor,LM-2186,"Heifetz, Primrose, Piatigorsky","Beethoven Trios in G, Op. 9, No. 1; in C Minor, Op. 9, No. 3",records/501/PXL_20240916_015147376.jpg
MHS,MHS STEREO 4070,"The Chancel Choir of Plymouth Church, Shaker Heights",Harp of Joy,records/501/PXL_20240916_015152644.jpg
Everest,3251,Rachmaninoff,The Bells Op. 35,records/501/PXL_20240916_015157836.jpg
RCA Victor,LSC-2567,"Munch, Boston Symphony","Concerto for Organ, Strings and Timpani / Jeu de Cartes",records/501/PXL_20240916_015203058.jpg
