record_label,catalog_number,artist,album,image
Nonesuch,H-71289,Walter Gerwig,The Baroque Lute,records/118/PXL_20240920_010427187.jpg
RCA Victrola,VICS-1362,Walter Gerwig,The Art of the Lute,records/118/PXL_20240920_010432207.jpg
the musical heritage society inc.,MHS 1188,Walter Gerwig,Lute Music of the German Renaissance,records/118/PXL_20240920_010439202.MP.jpg
RCA Victor Red Seal,LSC-2878,Julian Bream,Baroque Guitar,records/118/PXL_20240920_010444990.MP.jpg
RCA Red Seal,LSC-3100,Julian Bream/George Malcolm,Sonatas for Lute and Harpsichord,records/118/PXL_20240920_010450342.jpg
Archiv Produktion,2533 302,"Konrad Ragossnig, Renaissance-Laute",Musik für Laute,records/118/PXL_20240920_010455504.jpg
RCA Red Seal,LSC-3196,Julian Bream,The Golden Age of English Lute Music,records/118/PXL_20240920_010501710.jpg
Archiv Produktion,2533 365,Konrad Ragossnig,La Guitare Royale,records/118/PXL_20240920_010507819.MP.jpg
Archiv Produktion,2533 353,"Konrad Ragossnig, Jürgen Hübscher, Dieter Kirsch",Musik für 2 & 3 Lauten,records/118/PXL_20240920_010515654.jpg
Archiv Produktion,2533 157,"Konrad Ragossnig, Renaissance-Laute",Musik für Laute: Music for Lute - Musique pour luth,records/118/PXL_20240920_010523038.jpg
Archiv Produktion,2533 173,"Konrad Ragossnig, Renaissance-Laute",Musik für Laute: Italien - Italy - Italie,records/118/PXL_20240920_010528403.jpg
Archiv Produktion,2533 294,"Konrad Ragossnig, Renaissance-Laute",Musik für Laute: IV. Polen-Ungarn,records/118/PXL_20240920_010533939.jpg
RCA Red Seal,ARL1-0346,Julian Bream,Music of Spain,records/118/PXL_20240920_010539492.jpg
Vanguard,3155,Alirio Diaz,400 Years of the Classical Guitar,records/118/PXL_20240920_010548117.jpg
RCA Victor Red Seal,LSC-2896,Julian Bream,J.S. Bach Lute Suites Nos. 1 and 2,records/118/PXL_20240920_010555083.jpg
RCA Victor Red Seal,LSC-3027,Julian Bream,Julian Bream and His Friends,records/118/PXL_20240920_010601500.MP.jpg
RCA Red Seal,ARL1-1491,Julian Bream,Lute Music of John Dowland,records/118/PXL_20240920_010608403.jpg
Concord Jazz,CJ-37,Carlos Barbosa-Lima,plays The Entertainer and selected works by Scott Joplin,records/118/PXL_20240920_010614843.jpg
Vanguard,HM 32 SD,Alirio Diaz,The Virtuoso Guitar,records/118/PXL_20240920_010621557.jpg
Nonesuch,H-71069,André Benichou and His Well-Tempered Three,Jazz Guitar Bach,records/118/PXL_20240920_010627339.jpg
RCA Victor Red Seal,LSC-2924,Julian Bream,Lute Music from the Royal Courts of Europe,records/118/PXL_20240920_010633068.jpg
The Musical Heritage Society Inc.,MHS 3262,Ralph Vaughan Williams,The First Nowell (A Nativity Play),records/118/PXL_20240920_010639929.jpg
The Musical Heritage Society Inc.,MHS 3297,Johann Sebastian Bach,"Cantata No. 208, Was mir behagt, ist nur die muntre Jagd ('Hunt' Cantata)",records/118/PXL_20240920_010647426.jpg
