record_label,catalog_number,artist,album,image
Musical Heritage Society,MHS 609,Wolfgang Amadeus Mozart,"Divertimento No. 7 in D Major, K. 205 / Divertimento No. 10 in F Major, K. 247 / Six Country Dances in B-flat Major, K. 606",records/123/PXL_20240920_013813555.jpg
Columbia Masterworks,MS 6354,"E. Power Biggs, Organist / The New England Brass Ensemble","Heroic Music for Organ, Brass and Percussion",records/123/PXL_20240920_013820051.jpg
Columbia Masterworks,,Pinchas Zukerman,Wieniawski: Violin Concerto No. 2 in D Minor / Kabalevsky: Violin Concerto / Bloch: Nigun from 'Baal Shem',records/123/PXL_20240920_013825356.MP.jpg
MHS,3762,Antonio Vivaldi,"Six Concerti Grossi, Op. VI",records/123/PXL_20240920_013831391.MP.jpg
Angel,SZ-37650,Itzhak Perlman,Plays Fritz Kreisler Album 3,records/123/PXL_20240920_013836961.MP.jpg
The Musical Heritage Society Inc.,MHS 3323,Johann Christian Bach,"Symphony in G Minor, Op. VI, No. 6 / Harpsichord Concerto in E-Flat Major, Op. VII, No. 5",records/123/PXL_20240920_013842800.jpg
The Musical Heritage Society Inc.,MHS 1876,"Maurice André, Marie-Claire Alain",Trumpet and Organ,records/123/PXL_20240920_013849494.jpg
Nonesuch,H-71228,Various Artists,A Nonesuch Christmas,records/123/PXL_20240920_013857497.jpg
Turnabout,TV-S 34325,"Dittersdorf, Werner, Albrechtsberger",Harpsichord Concertos,records/123/PXL_20240920_013905755.jpg
Nonesuch,H-71185,Johann Christian Bach,"Sinfonia in D Major for Double Orchestra, Op. 18, No. 3 / Sinfonia in E Major for Double Orchestra, Op. 18, No. 5 / Sinfonia Concertante in C Major for Flute, Oboe, Violin, Cello, & Orchestra",records/123/PXL_20240920_013911968.MP.jpg
Musical Heritage Society,MHS 4252,Felix Mendelssohn,Two String Symphonies,records/123/PXL_20240920_013918167.jpg
Not visible,Not visible,Various Artists,The Virtuose Viola d'Amore,records/123/PXL_20240920_013923998.jpg
Philips,,Henryk Szeryng,Paganini Violin Concertos Nos. 1 & 4,records/123/PXL_20240920_013929805.jpg
Westminster Gold,WGM-8265,Antonin Dvorak,"Concerto for Cello & Orchestra in B Minor, Op. 104",records/123/PXL_20240920_013935324.jpg
Nonesuch,H-71197,Joseph Haydn,Overture to an English Opera / Symphony No. 63 in C Major ('La Roxelane') / Symphony No. 78 in C Minor,records/123/PXL_20240920_013941318.jpg
Musical Heritage Society,MHS 1910,Joseph Haydn,The Three Violin Concertos,records/123/PXL_20240920_013946732.jpg
Columbia Masterworks,M 35134,Perahia,Plays and Conducts Mozart,records/123/PXL_20240920_013952565.jpg
Sine Qua Non,SQN-SA 2014,Empire Brass Quintet,Baroque Brass,records/123/PXL_20240920_013958626.MP.jpg
The Musical Heritage Society Inc.,MHS 1846,Johann Christian Bach,Sinfonia IV 'La Clemenza di Scipione' Concert Arias,records/123/PXL_20240920_014004463.MP.jpg
Philips,PHC 9010,Francesco Geminiani,"Concerti Grossi, Opus 7",records/123/PXL_20240920_014010548.jpg
Nonesuch,H-71343,Henry Purcell,Airs & Duets,records/123/PXL_20240920_014016703.jpg
Musical Heritage Society,MHS 1234,I Solisti Veneti,Celebrated Christmas Concerti,records/123/PXL_20240920_014025055.MP.jpg
Philips,,Handel,Music for the Royal Fireworks and Three Concertos,records/123/PXL_20240920_014030336.jpg
Musical Heritage Society,MHS 4323,Antonio Vivaldi,Bassoon Concerti,records/123/PXL_20240920_014036455.jpg
Vox,STPL 516.630,Verdi,Aida: Excerpts,records/123/PXL_20240920_014042946.jpg
