record_label,catalog_number,artist,album,image
London ffrr,CST 6646,"J.S. Bach, The Stuttgart Chamber Orchestra, Karl Münchinger",Musical Offering,records/145/PXL_20240925_035842762.jpg
Musical Heritage Society,MHS 3420,Johann Sebastian Bach,Cantata No. 131 & Cantata No. 106,records/145/PXL_20240925_035848605.jpg
Archiv Produktion,2533 055,Johann Sebastian Bach,3 Sonaten für Viola da gamba und obligates Cembalo BWV 1027-1029,records/145/PXL_20240925_035854552.jpg
Turnabout,TV 4032,Schönberg,Verklärte Nacht - Transfigured Night / String Quartet No. 2,records/145/PXL_20240925_035900017.jpg
Turnabout Vox,TV 34023,Josquin Des Pres,Missa de Beata Virgine,records/145/PXL_20240925_035905548.jpg
RCA Red Seal,ARL1-0130,Leontyne Price,Leontyne Price Sings Richard Strauss,records/145/PXL_20240925_035911081.jpg
The Musical Heritage Society Inc.,MHS 516,Johann Sebastian Bach,The Great Cantatas of Johann Sebastian Bach,records/145/PXL_20240925_035917515.jpg
Philips,,Mozart,Credo Mass / Coronation Mass,records/145/PXL_20240925_035925700.jpg
Vanguard Everyman Classics,SRV-249SD,Handel,Dixit Dominus,records/145/PXL_20240925_035932906.jpg
ABC Classics,SC 4027,Various Artists,The First Release,records/145/PXL_20240925_035938563.jpg
London,OS 25320,"Ansermet, L'Orchestre de la Suisse Romande",Christmas Cantata / Symphony for Strings,records/145/PXL_20240925_035945951.jpg
RCA Victor,LSC-2680,Cliburn / Reiner,Beethoven Concerto No. 4,records/145/PXL_20240925_035952914.jpg
Musical Heritage Society Inc.,MHS 1281,Johann Sebastian Bach,"Cantata No. 20 'O Ewigkeit, du Donnerwort'; Cantata No. 168 'Tue Rechnung! Donnerwort'",records/145/PXL_20240925_040000051.jpg
Musical Heritage Society,MHS 1694,Johann Sebastian Bach,Cantata No. 178 & Cantata No. 73,records/145/PXL_20240925_040006396.jpg
Philips,,"J.S. Bach, Maurice Hasson, Henryk Szeryng, Academy of St. Martin-in-the-Fields, Neville Marriner",Violin Concertos in E major and in A minor / Double Concerto in D minor / Air from Suite No. 3,records/145/PXL_20240925_040020479.jpg
Columbia Odyssey,Y 32524,Alexander Zakin,"Sonata in C Minor, Partita in E Minor, Sonata No. 3 in E Major",records/145/PXL_20240925_040027535.jpg
Musical Heritage Society,MHS 1507,Gabriel Fauré,"Requiem, Op. 48",records/145/PXL_20240925_040040226.MP.jpg
Musical Heritage Society,MHS 634,Philippe Caillard Vocal Ensemble,A Capella Motets,records/145/PXL_20240925_040049765.jpg
The Musical Heritage Society Inc.,OR 360,Orazio Vecchi,L'Amfiparnaso,records/145/PXL_20240925_040056781.jpg
Odyssey,32 16 0158,"Robert, Gaby, Jean Casadesus; Eugene Ormandy; The Philadelphia Orchestra",Bach Concerto No. 1 in D Minor for Three Pianos / Mozart Concerto in F Major for Three Pianos / Bach Italian Concerto,records/145/PXL_20240925_040103687.jpg
Das Alte Werk,,Johann Sebastian Bach,"Concertos for Harpsichord: A major, F minor, E major",records/145/PXL_20240925_040109636.jpg
Nonesuch,H-71066,Johann Sebastian Bach,Motets,records/145/PXL_20240925_040116412.jpg
Nonesuch,H-71011,J.S. Bach,"Magnificat in D, Cantata No. 51",records/145/PXL_20240925_040122801.jpg
